CIK,resolved_ticker,matched_alias,matched_articles,title_matches,body_matches,exact_ticker_matches,direct_high_confidence_edges,multi_company_high_confidence_edges,training_high_confidence_edges,training_distinct_recorded_dates,publisher_count,native_tag_agreement_rate,top_publisher_hash,top_publisher_fraction,publisher_entropy,training_days_denominator,training_day_coverage,risk_flags,risk_flag_count
69733,NATH,NATH,34,0.0,0.0,34.0,2.0,32.0,20.0,15,0,0.5294117647058824,,0.0,0.0,1008,0.01488095238095238,SINGLE_TOKEN_SEMANTIC_RISK,1
1999001,FUN,six flags entertainment new,4,0.0,4.0,0.0,0.0,2.0,2.0,1,0,0.0,,0.0,0.0,1008,0.000992063492063492,NONE,0
1631761,YRD,yiren digital,125,33.0,92.0,0.0,24.0,47.0,57.0,12,1,0.176,7276994fe3b691a33351d3624d75910566c16617a432697d5d342172678d794d,1.0,-0.0,1008,0.011904761904761904,PUBLISHER_CONCENTRATION_GE_80_PERCENT,1
1061736,FMX,FMX,94,0.0,0.0,94.0,11.0,83.0,16.0,12,0,0.2553191489361702,,0.0,0.0,1008,0.011904761904761904,SINGLE_TOKEN_SEMANTIC_RISK,1
1415311,YCS,YCS,54,0.0,0.0,54.0,19.0,35.0,0.0,0,0,0.2037037037037037,,0.0,0.0,1008,0.0,SINGLE_TOKEN_SEMANTIC_RISK,1
1478888,NBB,nuveen build america bond fund,41,36.0,5.0,0.0,2.0,39.0,6.0,6,0,0.8292682926829268,,0.0,0.0,1008,0.005952380952380952,NONE,0
1375205,URG,URG,30,0.0,0.0,30.0,4.0,26.0,10.0,3,0,0.13333333333333333,,0.0,0.0,1008,0.002976190476190476,SINGLE_TOKEN_SEMANTIC_RISK,1
1779372,BEAT,heartbeam,49,8.0,41.0,0.0,6.0,15.0,6.0,3,0,0.3877551020408163,,0.0,0.0,665,0.004511278195488722,SINGLE_TOKEN_SEMANTIC_RISK,1
884144,ASUR,forgent networks,31,26.0,5.0,0.0,26.0,2.0,2.0,1,2,0.3548387096774194,b760b1294f1c1c3c7acaf7968447dba9b64ee4ce0b10d6aa81600f9526801e12,0.8333333333333334,0.45056120886630463,1008,0.000992063492063492,NONE,0
788784,PEG,PEG,3,0.0,0.0,3.0,0.0,3.0,0.0,0,0,0.0,,0.0,0.0,1008,0.0,SINGLE_TOKEN_SEMANTIC_RISK,1
894405,ARCB,ARCB,102,0.0,0.0,102.0,10.0,92.0,38.0,29,0,0.5588235294117647,,0.0,0.0,1008,0.028769841269841268,SINGLE_TOKEN_SEMANTIC_RISK,1
1690842,PLTM,graniteshares platinum trust,40,0.0,40.0,0.0,15.0,13.0,6.0,5,0,0.4,,0.0,0.0,985,0.005076142131979695,NONE,0
1471055,BSBR,BSBR,50,0.0,0.0,50.0,4.0,46.0,7.0,3,0,0.22,,0.0,0.0,1008,0.002976190476190476,SINGLE_TOKEN_SEMANTIC_RISK,1
1021561,NUS,NUS,17,0.0,0.0,17.0,3.0,14.0,0.0,0,1,0.11764705882352941,1b425b87521ec0ab5e4c02aa6bbf44fa197505a03a1fa7f593d749168cc34d2f,1.0,-0.0,1008,0.0,SINGLE_TOKEN_SEMANTIC_RISK,1
1713930,NEXA,nexa resources s a,133,44.0,89.0,0.0,8.0,95.0,29.0,18,0,0.5639097744360902,,0.0,0.0,1008,0.017857142857142856,NONE,0
1279014,ERH,evergreen utilities high income fund,16,3.0,13.0,0.0,3.0,0.0,0.0,0,0,0.125,,0.0,0.0,1008,0.0,NONE,0
1650132,FCPT,FCPT,14,0.0,0.0,14.0,4.0,10.0,7.0,1,0,0.14285714285714285,,0.0,0.0,1008,0.000992063492063492,SINGLE_TOKEN_SEMANTIC_RISK,1
877463,VKQ,invesco municipal trust,74,53.0,21.0,0.0,13.0,59.0,12.0,6,1,0.8108108108108109,7276994fe3b691a33351d3624d75910566c16617a432697d5d342172678d794d,1.0,-0.0,1008,0.005952380952380952,NONE,0
1253986,ABR,ABR,4,0.0,0.0,4.0,0.0,4.0,0.0,0,0,0.0,,0.0,0.0,1008,0.0,SINGLE_TOKEN_SEMANTIC_RISK,1
1285819,OMER,OMER,30,0.0,0.0,30.0,28.0,2.0,22.0,9,4,0.8,1b425b87521ec0ab5e4c02aa6bbf44fa197505a03a1fa7f593d749168cc34d2f,0.42857142857142855,1.1032634988483543,1008,0.008928571428571428,SINGLE_TOKEN_SEMANTIC_RISK,1
887905,LTC,LTC,23,0.0,0.0,23.0,9.0,14.0,0.0,0,0,0.0,,0.0,0.0,1008,0.0,SINGLE_TOKEN_SEMANTIC_RISK,1
1606909,PANL,PANL,45,0.0,0.0,45.0,6.0,39.0,0.0,0,0,0.26666666666666666,,0.0,0.0,1008,0.0,SINGLE_TOKEN_SEMANTIC_RISK,1
935419,RICK,RICK,6,0.0,0.0,6.0,2.0,4.0,0.0,0,0,0.0,,0.0,0.0,1008,0.0,SINGLE_TOKEN_SEMANTIC_RISK,1
759944,CFG,citizens financial group inc ri,4,0.0,4.0,0.0,1.0,1.0,0.0,0,0,0.0,,0.0,0.0,1008,0.0,NONE,0
1254370,WIA,western asset inflation linked income fund,31,14.0,17.0,0.0,17.0,12.0,17.0,2,1,0.12903225806451613,b760b1294f1c1c3c7acaf7968447dba9b64ee4ce0b10d6aa81600f9526801e12,1.0,-0.0,1008,0.001984126984126984,NONE,0
1434621,TREE,TREE,35,0.0,0.0,35.0,24.0,11.0,9.0,4,1,0.8,deb56840b9cdc03f6c4ee4d521ae2d441afded63a6b8dfc35db2427b482be521,1.0,-0.0,1008,0.003968253968253968,SINGLE_TOKEN_SEMANTIC_RISK,1
1174940,OGEN,OGEN,1,0.0,0.0,1.0,1.0,0.0,1.0,1,0,0.0,,0.0,0.0,1008,0.000992063492063492,SINGLE_TOKEN_SEMANTIC_RISK,1
67088,MUFG,mitsubishi tokyo financial,12,0.0,12.0,0.0,0.0,0.0,0.0,0,1,0.0,215816bf42103f1f2b24c168779f1fb0ea3afcb7a2c627e42e0bcd7fe07eb70a,1.0,-0.0,1008,0.0,NONE,0
1443646,BAH,BAH,22,0.0,0.0,22.0,16.0,6.0,3.0,2,1,0.8181818181818182,deb56840b9cdc03f6c4ee4d521ae2d441afded63a6b8dfc35db2427b482be521,1.0,-0.0,1008,0.001984126984126984,SINGLE_TOKEN_SEMANTIC_RISK,1
1286043,KRG,kite realty trust,2,2.0,0.0,0.0,2.0,0.0,2.0,1,1,1.0,08f472aed74b038b1cd05a1e3cd5afd5b1a5ccd3c9ab2b14bf706239f26376a8,1.0,-0.0,1008,0.000992063492063492,NONE,0
1665918,USFD,USFD,31,0.0,0.0,31.0,0.0,31.0,9.0,3,0,0.22580645161290322,,0.0,0.0,1008,0.002976190476190476,SINGLE_TOKEN_SEMANTIC_RISK,1
1114446,UCIB,AMUB,4,0.0,0.0,4.0,0.0,4.0,4.0,1,0,0.0,,0.0,0.0,1008,0.000992063492063492,SINGLE_TOKEN_SEMANTIC_RISK,1
901491,PZZA,papa johns international,33,2.0,31.0,0.0,4.0,6.0,5.0,2,1,0.3333333333333333,1b425b87521ec0ab5e4c02aa6bbf44fa197505a03a1fa7f593d749168cc34d2f,1.0,-0.0,1008,0.001984126984126984,NONE,0
1095052,PLG,PLG,5,0.0,0.0,5.0,1.0,4.0,0.0,0,0,0.4,,0.0,0.0,1008,0.0,SINGLE_TOKEN_SEMANTIC_RISK,1
1210123,EAD,wells fargo advantage income opportunities fund,42,36.0,6.0,0.0,9.0,33.0,7.0,2,1,0.7142857142857143,7276994fe3b691a33351d3624d75910566c16617a432697d5d342172678d794d,1.0,-0.0,1008,0.001984126984126984,NONE,0
1511337,RLJ,RLJ,3,0.0,0.0,3.0,0.0,3.0,0.0,0,0,0.3333333333333333,,0.0,0.0,1008,0.0,SINGLE_TOKEN_SEMANTIC_RISK,1
1020710,DXPE,DXPE,17,0.0,0.0,17.0,0.0,17.0,6.0,6,0,0.7058823529411765,,0.0,0.0,1008,0.005952380952380952,SINGLE_TOKEN_SEMANTIC_RISK,1
724910,NVEC,NVEC,50,0.0,0.0,50.0,4.0,46.0,24.0,21,0,0.64,,0.0,0.0,1008,0.020833333333333332,SINGLE_TOKEN_SEMANTIC_RISK,1
4127,SWKS,alpha industries,8,2.0,6.0,0.0,4.0,0.0,0.0,0,1,0.0,be33a2316ee6ce95c471eaad604e3efc4239a90b25abc9a6d8ea0751a19c5773,1.0,-0.0,1008,0.0,NONE,0
1254370,WIA,western asset claymore inflation linked securities income fund,4,4.0,0.0,0.0,2.0,2.0,2.0,1,1,0.5,7276994fe3b691a33351d3624d75910566c16617a432697d5d342172678d794d,1.0,-0.0,1008,0.000992063492063492,NONE,0
1137883,BCLI,BCLI,7,0.0,0.0,7.0,6.0,1.0,5.0,3,2,0.8571428571428571,08f472aed74b038b1cd05a1e3cd5afd5b1a5ccd3c9ab2b14bf706239f26376a8,0.6666666666666666,0.6365141682948128,1008,0.002976190476190476,SINGLE_TOKEN_SEMANTIC_RISK,1
1713539,KXIN,cm seven star acquisition,7,6.0,1.0,0.0,6.0,1.0,6.0,2,2,0.0,08f472aed74b038b1cd05a1e3cd5afd5b1a5ccd3c9ab2b14bf706239f26376a8,0.6666666666666666,0.6365141682948128,1008,0.001984126984126984,NONE,0
1227476,JQC,nuveen multi strategy income growth fund 2,2,2.0,0.0,0.0,0.0,2.0,0.0,0,0,0.0,,0.0,0.0,1008,0.0,NONE,0
827876,CLSK,smartdata,8,6.0,2.0,0.0,8.0,0.0,2.0,1,0,0.0,,0.0,0.0,1008,0.000992063492063492,SINGLE_TOKEN_SEMANTIC_RISK,1
1362468,ALGT,ALGT,8,0.0,0.0,8.0,1.0,7.0,2.0,1,0,0.25,,0.0,0.0,1008,0.000992063492063492,SINGLE_TOKEN_SEMANTIC_RISK,1
1087294,CPIX,CPIX,6,0.0,0.0,6.0,0.0,6.0,6.0,3,0,0.0,,0.0,0.0,1008,0.002976190476190476,SINGLE_TOKEN_SEMANTIC_RISK,1
1429764,BLNK,BLNK,19,0.0,0.0,19.0,6.0,13.0,13.0,8,0,0.47368421052631576,,0.0,0.0,1008,0.007936507936507936,SINGLE_TOKEN_SEMANTIC_RISK,1
1195739,NRK,nuveen new york amt free quality municipal income fund,12,1.0,11.0,0.0,1.0,11.0,10.0,2,0,0.3333333333333333,,0.0,0.0,1008,0.001984126984126984,NONE,0
899051,ALL,ALL,4,0.0,0.0,4.0,0.0,4.0,0.0,0,0,0.0,,0.0,0.0,1008,0.0,SINGLE_TOKEN_SEMANTIC_RISK,1
1552033,TRU,TRU,1,0.0,0.0,1.0,0.0,1.0,1.0,1,0,0.0,,0.0,0.0,1008,0.000992063492063492,SINGLE_TOKEN_SEMANTIC_RISK,1
1074769,NAN,nuveen new york quality municipal income fund,25,22.0,3.0,0.0,2.0,22.0,20.0,20,0,0.92,,0.0,0.0,1008,0.01984126984126984,NONE,0
1383058,DBO,DBO,6,0.0,0.0,6.0,1.0,5.0,0.0,0,0,0.3333333333333333,,0.0,0.0,1008,0.0,SINGLE_TOKEN_SEMANTIC_RISK,1
1401667,PBYI,PBYI,104,0.0,0.0,104.0,104.0,0.0,2.0,1,4,1.0,deb56840b9cdc03f6c4ee4d521ae2d441afded63a6b8dfc35db2427b482be521,0.7115384615384616,0.8580378559927602,1008,0.000992063492063492,SINGLE_TOKEN_SEMANTIC_RISK,1
1415311,YCS,AGQ,5,0.0,0.0,5.0,0.0,5.0,0.0,0,0,0.0,,0.0,0.0,1008,0.0,SINGLE_TOKEN_SEMANTIC_RISK,1
1629210,PZG,PZG,1,0.0,0.0,1.0,0.0,1.0,0.0,0,0,0.0,,0.0,0.0,1008,0.0,SINGLE_TOKEN_SEMANTIC_RISK,1
1591670,FPI,FPI,1,0.0,0.0,1.0,0.0,1.0,0.0,0,0,0.0,,0.0,0.0,1008,0.0,SINGLE_TOKEN_SEMANTIC_RISK,1
