period,slice,model,n,dates,BA,MCC,Brier,up_recall,down_recall,pred_up,actual_up,mean_probability
test,2019-02,old_integrated,2,1,0.5,0.0,0.24045705056703418,1.0,0.0,1.0,0.5,0.5766548631850533
test,2019-02,body,2,1,0.5,0.0,0.24045705056703418,1.0,0.0,1.0,0.5,0.5766548631850533
test,2019-02,semantic,2,1,0.5,0.0,0.24045705056703418,1.0,0.0,1.0,0.5,0.5766548631850533
test,2019-02,static,2,1,0.5,0.0,0.24045705056703418,1.0,0.0,1.0,0.5,0.5766548631850533
test,2019-02,gate,2,1,0.5,0.0,0.24045705056703418,1.0,0.0,1.0,0.5,0.5766548631850533
test,2019-02,gate_cal,2,1,0.5,0.0,0.24022156512778167,1.0,0.0,1.0,0.5,0.5655586937820845
test,2019-02,primary_gate,2,1,0.5,0.0,0.24045705056703418,1.0,0.0,1.0,0.5,0.5766548631850533
validation,all,constant,126,42,0.5,0.0,0.25,1.0,0.0,1.0,0.3888888888888889,0.5
validation,all,prior,126,42,0.5,0.0,0.2626832377736994,1.0,0.0,1.0,0.3888888888888889,0.5470941883767533
validation,all,title,126,42,0.474025974025974,-0.05176317066525749,0.2767333885210925,0.5714285714285714,0.37662337662337664,0.6031746031746031,0.3888888888888889,0.5431267981243468
validation,all,price,126,42,0.5009276437847867,0.0018552875695732839,0.26196966809754185,0.6122448979591837,0.38961038961038963,0.6111111111111112,0.3888888888888889,0.5394103755946676
validation,all,old_body,126,42,0.5927643784786641,0.18146220519527786,0.2442121047272277,0.6530612244897959,0.5324675324675324,0.5396825396825397,0.3888888888888889,0.5059683479895962
validation,all,old_semantic,126,42,0.4202226345083488,-0.15799216740561844,0.3053471882735636,0.4897959183673469,0.35064935064935066,0.5873015873015873,0.3888888888888889,0.5572131061851199
validation,all,old_integrated,126,42,0.5120593692022264,0.02352753314395493,0.2534912824382881,0.5306122448979592,0.4935064935064935,0.5158730158730159,0.3888888888888889,0.5169839911378696
validation,all,body,126,42,0.5009276437847867,0.0018552875695732839,0.26196966809754185,0.6122448979591837,0.38961038961038963,0.6111111111111112,0.3888888888888889,0.5394103755946676
validation,all,semantic,126,42,0.5009276437847867,0.0018552875695732839,0.26196966809754185,0.6122448979591837,0.38961038961038963,0.6111111111111112,0.3888888888888889,0.5394103755946676
validation,all,static,126,42,0.5009276437847867,0.0018552875695732839,0.26196966809754185,0.6122448979591837,0.38961038961038963,0.6111111111111112,0.3888888888888889,0.5394103755946676
validation,all,gate,126,42,0.5009276437847867,0.0018552875695732839,0.26196966809754185,0.6122448979591837,0.38961038961038963,0.6111111111111112,0.3888888888888889,0.5394103755946676
validation,all,gate_cal,126,42,0.5074211502782932,0.014789477332930713,0.25834635752907775,0.6122448979591837,0.4025974025974026,0.6031746031746031,0.3888888888888889,0.5325935030436775
validation,all,primary_gate,126,42,0.5009276437847867,0.0018552875695732839,0.26196966809754185,0.6122448979591837,0.38961038961038963,0.6111111111111112,0.3888888888888889,0.5394103755946676
validation,news,constant,73,31,0.5,0.0,0.25,1.0,0.0,1.0,0.3698630136986301,0.5
validation,news,prior,73,31,0.5,0.0,0.2644752540741846,1.0,0.0,1.0,0.3698630136986301,0.5470941883767536
validation,news,title,73,31,0.48107890499194844,-0.037570916339223395,0.2760381016412171,0.5925925925925926,0.3695652173913043,0.6164383561643836,0.3698630136986301,0.5336733627120624
validation,news,price,73,31,0.5551529790660226,0.1133590266897589,0.262782099399345,0.7407407407407407,0.3695652173913043,0.6712328767123288,0.3698630136986301,0.5441822083534429
validation,news,old_body,73,31,0.5994363929146538,0.20049361773565857,0.2366527460904941,0.48148148148148145,0.717391304347826,0.3561643835616438,0.3698630136986301,0.47201952318628254
validation,news,old_semantic,73,31,0.4440418679549114,-0.10981436312113849,0.32212584446777337,0.5185185185185185,0.3695652173913043,0.589041095890411,0.3698630136986301,0.5504054323374177
validation,news,old_integrated,73,31,0.5680354267310789,0.13139347366307716,0.24814817346693444,0.5925925925925926,0.5434782608695652,0.5068493150684932,0.3698630136986301,0.5054736543595175
validation,news,body,73,31,0.5551529790660226,0.1133590266897589,0.262782099399345,0.7407407407407407,0.3695652173913043,0.6712328767123288,0.3698630136986301,0.5441822083534429
validation,news,semantic,73,31,0.5551529790660226,0.1133590266897589,0.262782099399345,0.7407407407407407,0.3695652173913043,0.6712328767123288,0.3698630136986301,0.5441822083534429
