method,symbol,period,scope,n,BA,MCC,Brier,pred_up,constant,up_rate,invalid_n,news_ratio,days
llm_price,AMZN,2018-12,all,54,0.3601503759398496,-0.26880409055247717,0.30960979187687016,0.4444444444444444,False,0.35185185185185186,0,0.5,18
llm_price,AMZN,2019-01,all,63,0.5021052631578947,0.0044253636380814365,0.26737868796278313,0.6825396825396826,False,0.6031746031746031,0,0.4126984126984127,21
llm_price,AMZN,2019-02,all,2,0.5,0.0,0.34537876420280517,1.0,True,0.5,0,0.0,1
matched_joint,AAPL,test,all,178,0.4852216748768473,-0.04057989226919994,0.2577199951235561,0.8426966292134831,False,0.4887640449438202,0,1.0,60
matched_joint,AAPL,validation,all,126,0.540314401622718,0.13690383633610986,0.2550374140807769,0.9047619047619048,False,0.4603174603174603,0,0.9841269841269841,42
matched_joint,AAPL,2018-09,all,57,0.5504926108374384,0.15381610706424642,0.2460463303154146,0.8771929824561403,False,0.49122807017543857,0,0.9824561403508771,19
matched_joint,AAPL,2018-10,all,69,0.5346153846153846,0.13237839121827422,0.26246483110433705,0.927536231884058,False,0.43478260869565216,0,0.9855072463768116,23
matched_joint,AAPL,2018-11,all,60,0.5216907675194661,0.06071254220575628,0.2545213338719827,0.85,False,0.5166666666666667,0,1.0,20
matched_joint,AAPL,2018-12,all,53,0.49458204334365324,-0.014515450885641986,0.26203566404074546,0.8490566037735849,False,0.3584905660377358,0,1.0,18
matched_joint,AAPL,2019-01,all,63,0.4495841995841996,-0.1307633938684227,0.25467927162624987,0.8253968253968254,False,0.5873015873015873,0,1.0,21
matched_joint,AAPL,2019-02,all,2,,0.0,0.3350973965303838,1.0,True,0.0,0,1.0,1
matched_joint,AMZN,test,all,179,0.45331664580725906,-0.10212738938262268,0.2884064231425654,0.7039106145251397,False,0.5251396648044693,0,0.4692737430167598,60
matched_joint,AMZN,validation,all,126,0.5315398886827458,0.06387187202625091,0.28135118879084686,0.6349206349206349,False,0.3888888888888889,0,0.5793650793650794,42
matched_joint,AMZN,2018-09,all,57,0.5461822660098522,0.09572433346766025,0.2677740283820152,0.631578947368421,False,0.49122807017543857,0,0.6666666666666666,19
matched_joint,AMZN,2018-10,all,69,0.5208333333333333,0.03988620176087328,0.29256710391118607,0.6376811594202898,False,0.30434782608695654,0,0.5072463768115942,23
matched_joint,AMZN,2018-11,all,60,0.4930555555555556,-0.013994571159380999,0.2889286979996529,0.6166666666666667,False,0.6,0,0.5166666666666667,20
matched_joint,AMZN,2018-12,all,54,0.4827067669172932,-0.038632552979670366,0.3001476960002652,0.7592592592592593,False,0.35185185185185186,0,0.5,18
matched_joint,AMZN,2019-01,all,63,0.40894736842105267,-0.2007155056990498,0.2784422294849275,0.7301587301587301,False,0.6031746031746031,0,0.4126984126984127,21
matched_joint,AMZN,2019-02,all,2,0.5,0.0,0.26959591048764725,1.0,True,0.5,0,0.0,1
matched_news,AAPL,test,all,178,0.4760010104837691,-0.09568824891327092,0.2838196695439524,0.9325842696629213,False,0.4887640449438202,0,1.0,60
matched_news,AAPL,validation,all,126,0.5316937119675457,0.10386295096209561,0.2868105490160775,0.8968253968253969,False,0.4603174603174603,0,0.9841269841269841,42
matched_news,AAPL,2018-09,all,57,0.6022167487684729,0.2687083390416006,0.24442673570272697,0.8245614035087719,False,0.49122807017543857,0,0.9824561403508771,19
matched_news,AAPL,2018-10,all,69,0.4794871794871795,-0.09972767893423543,0.32182326436188874,0.9565217391304348,False,0.43478260869565216,0,0.9855072463768116,23
matched_news,AAPL,2018-11,all,60,0.48498331479421575,-0.06886298800964176,0.2579467723317053,0.95,False,0.5166666666666667,0,1.0,20
matched_news,AAPL,2018-12,all,53,0.4473684210526316,-0.26490647141300877,0.31053856327489504,0.9622641509433962,False,0.3584905660377358,0,1.0,18
matched_news,AAPL,2019-01,all,63,0.4844074844074844,-0.05230228533552358,0.28813899173715707,0.9047619047619048,False,0.5873015873015873,0,1.0,21
matched_news,AAPL,2019-02,all,2,,0.0,0.21589725295543977,0.5,False,0.0,0,1.0,1
matched_news,AMZN,test,all,179,0.4852315394242804,-0.03351990034067937,0.2614408483869146,0.7374301675977654,False,0.5251396648044693,0,0.4692737430167598,60
matched_news,AMZN,validation,all,126,0.5194805194805194,0.04108487806004278,0.2702423972176399,0.6904761904761905,False,0.3888888888888889,0,0.5793650793650794,42
matched_news,AMZN,2018-09,all,57,0.44150246305418717,-0.12407291674636628,0.2651817281790512,0.6666666666666666,False,0.49122807017543857,0,0.6666666666666666,19
matched_news,AMZN,2018-10,all,69,0.6056547619047619,0.21430697173473098,0.2744229499016913,0.7101449275362319,False,0.30434782608695654,0,0.5072463768115942,23
matched_news,AMZN,2018-11,all,60,0.4930555555555556,-0.01651595799587627,0.2567916872149373,0.7833333333333333,False,0.6,0,0.5166666666666667,20
matched_news,AMZN,2018-12,all,54,0.4706766917293233,-0.06252818913170463,0.27670453822096513,0.7222222222222222,False,0.35185185185185186,0,0.5,18
matched_news,AMZN,2019-01,all,63,0.48210526315789476,-0.03815170713731976,0.25285208308329454,0.6984126984126984,False,0.6031746031746031,0,0.4126984126984127,21
matched_news,AMZN,2019-02,all,2,0.5,0.0,0.2593421650909039,1.0,True,0.5,0,0.0,1
