method,symbol,phase,n,BA,MCC,Brier,pred_up,constant
F2_new_temperature,AMZN,development,126,0.49165120593692024,-0.01628008235137685,0.24994900563794392,0.5,0
F2_new_temperature,AMZN,later,179,0.5678973717146434,0.13610170167374214,0.2496510074838119,0.5418994413407822,0
F2_new_temperature,AMZN,train_forward_oof,382,0.4978259074772271,-0.0044652946634328415,0.2645949463490544,0.6178010471204188,0
H0_temperature,AAPL,development,126,0.5461460446247465,0.11064731431783177,0.2498464448888196,0.7777777777777778,0
H0_temperature,AAPL,later,178,0.5281672350637868,0.06527934660439429,0.24993758316623566,0.7528089887640449,0
H0_temperature,AAPL,train_forward_oof,383,0.5285778704695339,0.05622074637421524,0.2632811476491861,0.49869451697127937,0
H0_temperature,AMZN,development,126,0.5120593692022264,0.02352753314395493,0.24985909955402472,0.5158730158730159,0
H0_temperature,AMZN,later,179,0.5029411764705882,0.005875004589849128,0.2497828952274879,0.4972067039106145,0
H0_temperature,AMZN,train_forward_oof,382,0.5426975259377493,0.0853950518754988,0.26802567281823053,0.5314136125654451,0
H1_temperature,AAPL,development,126,0.5585699797160244,0.15666400527136837,0.24985589387086266,0.8333333333333334,0
H1_temperature,AAPL,later,178,0.5291777188328912,0.0726216698045009,0.24992651304508035,0.797752808988764,0
H1_temperature,AAPL,train_forward_oof,383,0.5418522067527196,0.08236881505757669,0.2634063470681471,0.5143603133159269,0
H1_temperature,AMZN,development,126,0.5500927643784786,0.09869275424396534,0.24989227232651753,0.5714285714285714,0
H1_temperature,AMZN,later,179,0.4872340425531915,-0.0258908476007435,0.25002532194179306,0.5865921787709497,0
H1_temperature,AMZN,train_forward_oof,382,0.5070451605801249,0.014148260104542605,0.2672444079279969,0.5549738219895288,0
H2_temperature,AAPL,development,126,0.5339756592292089,0.08921509264969128,0.24988545676736795,0.8253968253968254,0
H2_temperature,AAPL,later,178,0.517683465959328,0.04314414756838928,0.2499310020243608,0.7865168539325843,0
H2_temperature,AAPL,train_forward_oof,383,0.5288456118595344,0.05676295000730646,0.26317128255392086,0.5117493472584856,0
H2_temperature,AMZN,development,126,0.5454545454545454,0.08868070185029167,0.2499027059505348,0.5158730158730159,0
H2_temperature,AMZN,later,179,0.48667083854818527,-0.027148639878595577,0.25002660372167845,0.5977653631284916,0
H2_temperature,AMZN,train_forward_oof,382,0.5090266119932851,0.018037594238473544,0.26780123649702287,0.5235602094240838,0
P_cross_hgb_temperature,AAPL,development,126,0.5141987829614605,0.03404532748240977,0.2525414163453995,0.7777777777777778,0
P_cross_hgb_temperature,AAPL,later,178,0.49842111911077425,-0.003383214809560184,0.25210890255854784,0.6797752808988764,0
P_cross_hgb_temperature,AAPL,train_forward_oof,383,0.5539851192153769,0.10757681472158925,0.26493410104902354,0.5796344647519582,0
P_cross_hgb_temperature,AMZN,development,126,0.49536178107606677,-0.009537869319500918,0.25012383048849973,0.6587301587301587,0
P_cross_hgb_temperature,AMZN,later,179,0.5073842302878598,0.01528612575656777,0.24989138412385137,0.6312849162011173,0
P_cross_hgb_temperature,AMZN,train_forward_oof,382,0.4375154800891653,-0.13594787283127072,0.26639120077346046,0.6989528795811518,0
P_cross_lr_temperature,AAPL,development,126,0.505578093306288,0.013209894746573558,0.24887817033781048,0.7698412698412699,0
P_cross_lr_temperature,AAPL,later,178,0.548376910445876,0.10151345467399929,0.24812710779999683,0.651685393258427,0
P_cross_lr_temperature,AAPL,train_forward_oof,383,0.5480525336790485,0.0950789435596357,0.2624284223822233,0.5535248041775457,0
P_cross_lr_temperature,AMZN,development,126,0.5677179962894249,0.13543599257884972,0.2498658760689709,0.6111111111111112,0
P_cross_lr_temperature,AMZN,later,179,0.4919899874843554,-0.016352928123630196,0.24974386902996343,0.6033519553072626,0
P_cross_lr_temperature,AMZN,train_forward_oof,382,0.4983075102512591,-0.0035457252733641412,0.26148311342687053,0.6518324607329843,0
P_cross_tabpfn_temperature,AAPL,development,126,0.5316937119675457,0.10386295096209561,0.2496741111531255,0.8968253968253969,0
P_cross_tabpfn_temperature,AAPL,later,178,0.5017051913603637,0.004495147298372669,0.25076292614942797,0.8258426966292135,0
P_cross_tabpfn_temperature,AAPL,train_forward_oof,383,0.508229524829491,0.01619112532099405,0.2596806887785367,0.5065274151436031,0
P_cross_tabpfn_temperature,AMZN,development,126,0.5231910946196661,0.04964765961593299,0.2499751439005179,0.7063492063492064,0
P_cross_tabpfn_temperature,AMZN,later,179,0.5434918648310388,0.0941497622381132,0.24997442041008838,0.6927374301675978,0
