method,symbol,phase,original_news,n,BA,MCC,Brier,pred_up,constant
F1,AMZN,train_forward_oof,1,198,0.44951456310679616,-0.11610760578770377,0.27502377805406053,0.25252525252525254,0
F2,AAPL,development,0,2,,0.0,0.219583675438098,0.5,0
F2,AAPL,development,1,124,0.5477941176470589,0.12452068109744242,0.28127469765826635,0.8225806451612904,0
F2,AAPL,later,1,178,0.5671340154098775,0.15225387872362858,0.28557810785631715,0.7359550561797753,0
F2,AAPL,train_forward_oof,0,4,0.6666666666666666,0.3333333333333333,0.2587048015148473,0.75,0
F2,AAPL,train_forward_oof,1,379,0.5004329004329005,0.0008523291021112745,0.2602047328634746,0.5329815303430079,0
F2,AMZN,development,0,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.5094339622641509,0
F2,AMZN,development,1,73,0.4440418679549114,-0.10981436312113849,0.32212584446777337,0.589041095890411,0
F2,AMZN,later,0,95,0.5596187943262412,0.12613553931990254,0.24290844019334246,0.6631578947368421,0
F2,AMZN,later,1,84,0.5333525014376078,0.06630585267224726,0.28293227466514725,0.5238095238095238,0
F2,AMZN,train_forward_oof,0,184,0.571150097465887,0.15750225190539477,0.24499033244624976,0.7282608695652174,0
F2,AMZN,train_forward_oof,1,198,0.3800204394481349,-0.24036477959861086,0.30260520483692077,0.5353535353535354,0
F6,AAPL,development,0,2,,0.0,0.219583675438098,0.5,0
F6,AAPL,development,1,124,0.5115546218487395,0.05359417295590909,0.2579044875127507,0.9516129032258065,0
F6,AAPL,later,1,178,0.4939370973853733,-0.013658361895953085,0.2528519469342745,0.7303370786516854,0
F6,AAPL,train_forward_oof,0,4,0.6666666666666666,0.3333333333333333,0.2587048015148473,0.75,0
F6,AAPL,train_forward_oof,1,379,0.5534343434343435,0.11036734730204796,0.24503630178367275,0.6543535620052771,0
F6,AMZN,development,0,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.5094339622641509,0
F6,AMZN,development,1,73,0.5595813204508857,0.13110740970142798,0.266041192610162,0.7397260273972602,0
F6,AMZN,later,0,95,0.5596187943262412,0.12613553931990254,0.24290844019334246,0.6631578947368421,0
F6,AMZN,later,1,84,0.45715928694652097,-0.08946561129828609,0.26769052945825456,0.6547619047619048,0
F6,AMZN,train_forward_oof,0,184,0.571150097465887,0.15750225190539477,0.24499033244624976,0.7282608695652174,0
F6,AMZN,train_forward_oof,1,198,0.5261624936126724,0.054680885783056854,0.25859134955892027,0.6464646464646465,0
F1_new,AAPL,development,0,2,,0.0,0.16128765646434737,0.5,0
F1_new,AAPL,development,1,124,0.5861344537815126,0.21368191536505515,0.25046493664394825,0.7983870967741935,0
F1_new,AAPL,later,1,178,0.5174308450170519,0.041750263492643866,0.2587278548675218,0.7752808988764045,0
F1_new,AAPL,train_forward_oof,0,4,0.6666666666666666,0.3333333333333333,0.3086636922488203,0.75,0
F1_new,AAPL,train_forward_oof,1,379,0.5026695526695527,0.005402626341600254,0.25926653151355117,0.6200527704485488,0
F1_new,AMZN,development,0,53,0.5146627565982405,0.02894601536677788,0.2670094676789736,0.5283018867924528,0
F1_new,AMZN,development,1,73,0.5994363929146538,0.20049361773565857,0.23665274609049416,0.3561643835616438,0
F1_new,AMZN,later,0,95,0.5489804964539007,0.10286554024931781,0.2437223833826705,0.6526315789473685,0
F1_new,AMZN,later,1,84,0.5543415756181713,0.12460403068253721,0.2757204114857473,0.25,0
F1_new,AMZN,train_forward_oof,0,184,0.5955165692007798,0.20890014770087442,0.24709181436825195,0.717391304347826,0
F1_new,AMZN,train_forward_oof,1,198,0.4398058252427185,-0.13667427403252455,0.2669492626457283,0.26262626262626265,0
F2_new,AAPL,development,0,2,,0.0,0.16128765646434737,0.5,0
F2_new,AAPL,development,1,124,0.5582983193277311,0.16108794833649337,0.2553137749394445,0.8467741935483871,0
F2_new,AAPL,later,1,178,0.5514083617531893,0.12542620043096026,0.2577266770701453,0.7865168539325843,0
F2_new,AAPL,train_forward_oof,0,4,0.6666666666666666,0.3333333333333333,0.3086636922488203,0.75,0
F2_new,AAPL,train_forward_oof,1,379,0.504025974025974,0.007960800037702349,0.27932366854541796,0.5567282321899736,0
F2_new,AMZN,development,0,53,0.5146627565982405,0.02894601536677788,0.2670094676789736,0.5283018867924528,0
F2_new,AMZN,development,1,73,0.4722222222222222,-0.05368617618888927,0.2606766408756593,0.4794520547945205,0
F2_new,AMZN,later,0,95,0.5489804964539007,0.10286554024931781,0.2437223833826705,0.6526315789473685,0
F2_new,AMZN,later,1,84,0.6066705002875216,0.21482857931789248,0.254091792996006,0.4166666666666667,0
F2_new,AMZN,train_forward_oof,0,184,0.5955165692007798,0.20890014770087442,0.24709181436825195,0.717391304347826,0
F2_new,AMZN,train_forward_oof,1,198,0.38972917731221257,-0.2206431397592043,0.3283522267196834,0.5252525252525253,0
H0,AAPL,development,0,2,,0.0,0.16128765646434737,0.5,0
H0,AAPL,development,1,124,0.5519957983193278,0.12539463823990082,0.25194578348644286,0.782258064516129,0
H0,AAPL,later,1,178,0.5281672350637868,0.06527934660439429,0.2612802889936091,0.7528089887640449,0
H0,AAPL,train_forward_oof,0,4,0.6666666666666666,0.3333333333333333,0.3086636922488203,0.75,0
H0,AAPL,train_forward_oof,1,379,0.5294805194805194,0.05791901119675153,0.2815400209488754,0.49604221635883905,0
H0,AMZN,development,0,53,0.5146627565982405,0.02894601536677788,0.2670094676789736,0.5283018867924528,0
H0,AMZN,development,1,73,0.5092592592592593,0.01788195203698683,0.24449376756670818,0.5068493150684932,0
H0,AMZN,later,0,95,0.5489804964539007,0.10286554024931781,0.2437223833826705,0.6526315789473685,0
H0,AMZN,later,1,84,0.4732604945370903,-0.056847824269468085,0.28168858972788663,0.32142857142857145,0
H0,AMZN,train_forward_oof,0,184,0.5955165692007798,0.20890014770087442,0.24709181436825195,0.717391304347826,0
H0,AMZN,train_forward_oof,1,198,0.458865610628513,-0.08570071209556439,0.32713938371429735,0.35858585858585856,0
H1,AAPL,development,0,2,,0.0,0.30959991921583885,0.0,1
H1,AAPL,development,1,124,0.5745798319327731,0.206076474448487,0.2520729200273075,0.8467741935483871,0
H1,AAPL,later,1,178,0.5291777188328912,0.0726216698045009,0.26272762143355116,0.797752808988764,0
H1,AAPL,train_forward_oof,0,4,0.5,0.0,0.1277063676983772,0.0,1
H1,AAPL,train_forward_oof,1,379,0.5385425685425685,0.0757798011751553,0.3036121139163426,0.5197889182058048,0
H1,AMZN,development,0,53,0.593108504398827,0.21326022437975614,0.26114639511860904,0.7547169811320755,0
H1,AMZN,development,1,73,0.5048309178743962,0.009400555777286816,0.24855020857732582,0.4383561643835616,0
H1,AMZN,later,0,95,0.5296985815602837,0.07747533961840017,0.25314153933731737,0.8210526315789474,0
H1,AMZN,later,1,84,0.4732604945370903,-0.056847824269468085,0.2841754470990906,0.32142857142857145,0
H1,AMZN,train_forward_oof,0,184,0.5367933723196882,0.07914838631318218,0.2680691254868541,0.7010869565217391,0
H1,AMZN,train_forward_oof,1,198,0.4512008175779254,-0.09881775661879047,0.36090530381542646,0.41919191919191917,0
H2,AAPL,development,0,2,,0.0,0.2928516139028831,0.0,1
