phase,symbol,month,method,n,BA,MCC,Brier,pred_up,constant
later,AAPL,2018-11,F1_system_recency,60,0.5133481646273638,0.02723168561657922,0.2484728673467887,0.6,False
later,AAPL,2018-11,F2_infinity_refit,60,0.6262513904338154,0.28001888556827803,0.250491603937426,0.7166666666666667,False
later,AAPL,2018-11,F2_branch_recency,60,0.5228031145717464,0.058899231497756846,0.31518965334005977,0.8166666666666667,False
later,AAPL,2018-11,F2_system_recency,60,0.5228031145717464,0.058899231497756846,0.31518965334005977,0.8166666666666667,False
later,AAPL,2018-12,R1_infinity_refit,53,0.6385448916408669,0.2949846002743204,0.25395936945559855,0.7169811320754716,False
later,AAPL,2018-12,R1_recency,53,0.5317337461300309,0.08106250211502125,0.24283219570181386,0.16981132075471697,False
later,AAPL,2018-12,F1_infinity_refit,53,0.5565015479876161,0.12030098223477871,0.2596946425076442,0.7169811320754716,False
later,AAPL,2018-12,F1_branch_recency,53,0.4729102167182663,-0.060387925909224635,0.24420486968987248,0.24528301886792453,False
later,AAPL,2018-12,F1_system_recency,53,0.4729102167182663,-0.060387925909224635,0.24420486968987248,0.24528301886792453,False
later,AAPL,2018-12,F2_infinity_refit,53,0.5007739938080495,0.0016837880371435127,0.3342213897787733,0.7358490566037735,False
later,AAPL,2018-12,F2_branch_recency,53,0.5185758513931888,0.03762051253359767,0.38609783355760297,0.660377358490566,False
later,AAPL,2018-12,F2_system_recency,53,0.5185758513931888,0.03762051253359767,0.38609783355760297,0.660377358490566,False
later,AAPL,2019-01,R1_infinity_refit,63,0.485966735966736,-0.030586777135731963,0.25486671639997927,0.7142857142857143,False
later,AAPL,2019-01,R1_recency,63,0.41216216216216217,-0.1767817244340697,0.265264846105935,0.3968253968253968,False
later,AAPL,2019-01,F1_infinity_refit,63,0.48804573804573803,-0.029085974677101674,0.25620523177629684,0.7936507936507936,False
later,AAPL,2019-01,F1_branch_recency,63,0.4204781704781705,-0.17332507043581447,0.2556685425063136,0.7142857142857143,False
later,AAPL,2019-01,F1_system_recency,63,0.4204781704781705,-0.17332507043581447,0.2556685425063136,0.7142857142857143,False
later,AAPL,2019-01,F2_infinity_refit,63,0.5784823284823285,0.1775335718988042,0.2725644790519098,0.746031746031746,False
later,AAPL,2019-01,F2_branch_recency,63,0.567047817047817,0.16812274149094963,0.288532699163262,0.8095238095238095,False
later,AAPL,2019-01,F2_system_recency,63,0.567047817047817,0.16812274149094963,0.288532699163262,0.8095238095238095,False
later,AAPL,2019-02,R1_infinity_refit,2,,0.0,0.3846307444858184,1.0,True
later,AAPL,2019-02,R1_recency,2,,0.0,0.2559234899158881,0.5,False
later,AAPL,2019-02,F1_infinity_refit,2,,0.0,0.4083408880370367,1.0,True
later,AAPL,2019-02,F1_branch_recency,2,,0.0,0.2744683515944405,1.0,True
later,AAPL,2019-02,F1_system_recency,2,,0.0,0.2744683515944405,1.0,True
later,AAPL,2019-02,F2_infinity_refit,2,,0.0,0.45905556181679336,1.0,True
later,AAPL,2019-02,F2_branch_recency,2,,0.0,0.5518394251752807,1.0,True
later,AAPL,2019-02,F2_system_recency,2,,0.0,0.5518394251752807,1.0,True
later,AMZN,2018-11,R1_infinity_refit,60,0.5277777777777778,0.055978284637523995,0.2844212127969923,0.6166666666666667,False
later,AMZN,2018-11,R1_recency,60,0.4513888888888889,-0.11261065411536271,0.2996426604187526,0.23333333333333334,False
later,AMZN,2018-11,F1_infinity_refit,60,0.5138888888888888,0.02723168561657922,0.267106988666287,0.5166666666666667,False
later,AMZN,2018-11,F1_branch_recency,60,0.5138888888888888,0.02853069950072753,0.2639109998779272,0.35,False
later,AMZN,2018-11,F1_system_recency,60,0.4930555555555556,-0.02119519516996487,0.27517229680855976,0.11666666666666667,False
