CIK,ticker,issuer_name,training_period_SIC_evidence,derived_FF12_industry,industry_status,source,mapping_source,mapping_sha256
84748,ROG,ROGERS CORP,"[{""filing_date"":""2018-02-28"",""accession"":""0000084748-18-000007"",""form"":""10-K"",""SIC"":2821,""FF12"":""Chems""},{""filing_date"":""2021-11-08"",""accession"":""0000084748-21-000066"",""form"":""10-Q"",""SIC"":2821,""FF12"":""Chems""}]",Chems,INDUSTRY_STABLE,SEC filing submission headers accepted 2018-2021,Ken French SICcodes12.zip,d801141acf039f2e06e6d4d9ba2b3992e9747a1d82fabd53ef21da4a3af79fff
1725964,NTR,Nutrien Ltd.,"[{""filing_date"":""2019-02-27"",""accession"":""0001193125-19-053855"",""form"":""40-F"",""SIC"":2870,""FF12"":""Chems""},{""filing_date"":""2021-02-26"",""accession"":""0001193125-21-059301"",""form"":""40-F"",""SIC"":2870,""FF12"":""Chems""}]",Chems,INDUSTRY_STABLE,SEC filing submission headers accepted 2018-2021,Ken French SICcodes12.zip,d801141acf039f2e06e6d4d9ba2b3992e9747a1d82fabd53ef21da4a3af79fff
1306830,CE,Celanese Corp,"[{""filing_date"":""2018-02-09"",""accession"":""0001306830-18-000030"",""form"":""10-K"",""SIC"":2820,""FF12"":""Chems""},{""filing_date"":""2021-10-22"",""accession"":""0001306830-21-000203"",""form"":""10-Q"",""SIC"":2820,""FF12"":""Chems""}]",Chems,INDUSTRY_STABLE,SEC filing submission headers accepted 2018-2021,Ken French SICcodes12.zip,d801141acf039f2e06e6d4d9ba2b3992e9747a1d82fabd53ef21da4a3af79fff
1530804,TROX,Tronox Holdings plc,"[{""filing_date"":""2018-03-01"",""accession"":""0001140361-18-011324"",""form"":""10-K"",""SIC"":2810,""FF12"":""Chems""},{""filing_date"":""2021-10-28"",""accession"":""0001530804-21-000017"",""form"":""10-Q"",""SIC"":2810,""FF12"":""Chems""}]",Chems,INDUSTRY_STABLE,SEC filing submission headers accepted 2018-2021,Ken French SICcodes12.zip,d801141acf039f2e06e6d4d9ba2b3992e9747a1d82fabd53ef21da4a3af79fff
1590714,ESI,Element Solutions Inc,"[{""filing_date"":""2018-02-28"",""accession"":""0001590714-18-000033"",""form"":""10-K"",""SIC"":2890,""FF12"":""Chems""},{""filing_date"":""2021-10-28"",""accession"":""0001590714-21-000091"",""form"":""10-Q"",""SIC"":2890,""FF12"":""Chems""}]",Chems,INDUSTRY_STABLE,SEC filing submission headers accepted 2018-2021,Ken French SICcodes12.zip,d801141acf039f2e06e6d4d9ba2b3992e9747a1d82fabd53ef21da4a3af79fff
1442620,RCON,"Recon Technology, Ltd","[{""filing_date"":""2018-09-28"",""accession"":""0001144204-18-051524"",""form"":""20-F"",""SIC"":1389,""FF12"":""Enrgy""},{""filing_date"":""2021-11-15"",""accession"":""0001104659-21-139057"",""form"":""20-F"",""SIC"":1389,""FF12"":""Enrgy""}]",Enrgy,INDUSTRY_STABLE,SEC filing submission headers accepted 2018-2021,Ken French SICcodes12.zip,d801141acf039f2e06e6d4d9ba2b3992e9747a1d82fabd53ef21da4a3af79fff
1520048,PVL,Permianville Royalty Trust,"[{""filing_date"":""2018-03-12"",""accession"":""0001104659-18-016762"",""form"":""10-K"",""SIC"":1311,""FF12"":""Enrgy""},{""filing_date"":""2021-11-15"",""accession"":""0001104659-21-139154"",""form"":""10-Q"",""SIC"":1311,""FF12"":""Enrgy""}]",Enrgy,INDUSTRY_STABLE,SEC filing submission headers accepted 2018-2021,Ken French SICcodes12.zip,d801141acf039f2e06e6d4d9ba2b3992e9747a1d82fabd53ef21da4a3af79fff
1789832,HESM,Hess Midstream LP,"[{""filing_date"":""2020-02-21"",""accession"":""0001564590-20-005754"",""form"":""10-K"",""SIC"":1311,""FF12"":""Enrgy""},{""filing_date"":""2021-11-04"",""accession"":""0000950170-21-003081"",""form"":""10-Q"",""SIC"":1311,""FF12"":""Enrgy""}]",Enrgy,INDUSTRY_STABLE,SEC filing submission headers accepted 2018-2021,Ken French SICcodes12.zip,d801141acf039f2e06e6d4d9ba2b3992e9747a1d82fabd53ef21da4a3af79fff
789933,NC,NACCO INDUSTRIES INC,"[{""filing_date"":""2020-03-04"",""accession"":""0000789933-20-000017"",""form"":""10-K"",""SIC"":3630,""FF12"":""Durbl""},{""filing_date"":""2021-11-03"",""accession"":""0000789933-21-000057"",""form"":""10-Q"",""SIC"":3630,""FF12"":""Durbl""}]",Durbl,INDUSTRY_STABLE,SEC filing submission headers accepted 2018-2021,Ken French SICcodes12.zip,d801141acf039f2e06e6d4d9ba2b3992e9747a1d82fabd53ef21da4a3af79fff
1171486,NRP,NATURAL RESOURCE PARTNERS LP,"[{""filing_date"":""2018-03-01"",""accession"":""0001171486-18-000014"",""form"":""10-K"",""SIC"":1221,""FF12"":""Enrgy""},{""filing_date"":""2021-11-03"",""accession"":""0001171486-21-000031"",""form"":""10-Q"",""SIC"":1221,""FF12"":""Enrgy""}]",Enrgy,INDUSTRY_STABLE,SEC filing submission headers accepted 2018-2021,Ken French SICcodes12.zip,d801141acf039f2e06e6d4d9ba2b3992e9747a1d82fabd53ef21da4a3af79fff
