symbol,first_date,last_date,trading_rows,rows_2018_2023,missing_ohlcv_rows,missing_ohlcv_rate,duplicate_dates,non_monotonic_dates,invalid_ohlc_rows,adjusted_close_available_fraction,price_eligible_2018_2023
MRK,1970-01-02,2023-12-28,13618,1508,0,0.0,0,0,0,1.0,1
BATT,2018-04-19,2023-12-28,1402,1402,0,0.0,0,0,0,1.0,0
XIN,2007-12-12,2023-12-28,4039,1508,0,0.0,0,0,0,1.0,1
EXPCU,2019-09-13,2020-07-02,102,102,0,0.0,0,0,0,1.0,0
CWCO,1995-01-25,2023-12-28,7284,1508,1,0.0001372872048325096,0,0,7,0.9998627127951675,0
TRI,2002-06-12,2023-12-28,5425,1508,0,0.0,0,0,0,1.0,1
VIV,1998-11-16,2023-12-28,6320,1508,0,0.0,0,0,0,1.0,1
CLUB,2006-06-02,2020-07-02,3546,630,0,0.0,0,0,0,1.0,0
MJ,2015-12-03,2020-06-19,994,621,0,0.0,0,0,0,1.0,0
CRS,1973-02-21,2023-12-28,12826,1508,0,0.0,0,0,3715,1.0,0
HBB,2017-09-26,2023-12-28,1575,1508,0,0.0,0,0,0,1.0,1
SWT,2019-11-08,2020-07-02,163,163,0,0.0,0,0,0,1.0,0
AMRC,2010-07-22,2023-12-28,3383,1508,0,0.0,0,0,0,1.0,1
STXB,2018-05-04,2020-07-02,545,545,0,0.0,0,0,0,1.0,0
psct,2010-04-07,2023-12-28,3457,1508,0,0.0,0,0,0,1.0,1
GRBK,2007-06-20,2023-12-28,4161,1508,0,0.0,0,0,0,1.0,1
SONO,2018-08-02,2020-07-02,483,483,0,0.0,0,0,0,1.0,0
AHH,2013-05-08,2023-12-28,2680,1508,0,0.0,0,0,0,1.0,1
LN,2015-10-12,2020-07-02,1188,630,0,0.0,0,0,0,1.0,0
TSM,1997-10-09,2023-12-28,6598,1508,0,0.0,0,0,0,1.0,1
