stage,symbol,seed,method,has_news,n,BA,Brier,MCC,accuracy,predicted_up,constant
preprocess,AMZN,573,NUMERIC,True,415,0.6712984478111348,0.21755872637665657,0.34420022193780275,0.672289156626506,0.4506024096385542,False
preprocess,AMZN,573,NO_STEM,False,389,0.5510963508322664,0.24314929151600415,0.10534204089730206,0.5629820051413882,0.6298200514138818,False
preprocess,AMZN,573,NO_STEM,True,415,0.6465633423180592,0.22368471845351526,0.29671989062496523,0.6481927710843374,0.42168674698795183,False
preprocess,AMZN,574,PRICE,False,389,0.5217002774221084,0.25097340841262733,0.045795189357902305,0.5372750642673522,0.6658097686375322,False
preprocess,AMZN,574,PRICE,True,415,0.5024862905474486,0.26369162980832056,0.00500643159529356,0.5012048192771085,0.5590361445783133,False
preprocess,AMZN,574,FULL,False,389,0.5217002774221084,0.25097340841262733,0.045795189357902305,0.5372750642673522,0.6658097686375322,False
preprocess,AMZN,574,FULL,True,415,0.6544753229854076,0.2586127992558505,0.3102510098592115,0.655421686746988,0.4530120481927711,False
preprocess,AMZN,574,CONTROL,False,389,0.5217002774221084,0.25097340841262733,0.045795189357902305,0.5372750642673522,0.6658097686375322,False
preprocess,AMZN,574,CONTROL,True,415,0.6740751928617901,0.22508560991284762,0.34880751108531505,0.6746987951807228,0.4674698795180723,False
preprocess,AMZN,574,FREQUENCY,False,389,0.5217002774221084,0.25097340841262733,0.045795189357902305,0.5372750642673522,0.6658097686375322,False
preprocess,AMZN,574,FREQUENCY,True,415,0.6620736127892927,0.22653147227557935,0.3246606188135868,0.6626506024096386,0.46987951807228917,False
preprocess,AMZN,574,NEGATION,False,389,0.5217002774221084,0.25097340841262733,0.045795189357902305,0.5372750642673522,0.6658097686375322,False
preprocess,AMZN,574,NEGATION,True,415,0.6813597918022121,0.22510173892996518,0.3632940687942717,0.6819277108433734,0.46987951807228917,False
preprocess,AMZN,574,NUMERIC,False,389,0.5217002774221084,0.25097340841262733,0.045795189357902305,0.5372750642673522,0.6658097686375322,False
preprocess,AMZN,574,NUMERIC,True,415,0.6815689190445209,0.22159795566975846,0.3633574251451885,0.6819277108433734,0.4795180722891566,False
preprocess,AMZN,574,NO_STEM,False,389,0.5217002774221084,0.25097340841262733,0.045795189357902305,0.5372750642673522,0.6658097686375322,False
preprocess,AMZN,574,NO_STEM,True,415,0.6650594850822567,0.22285581067376692,0.33004995494333905,0.6650602409638554,0.4963855421686747,False
preprocess,AMZN,575,PRICE,False,389,0.5567781690140845,0.24737962021588583,0.11672878090713508,0.5681233933161953,0.6246786632390745,False
preprocess,AMZN,575,PRICE,True,415,0.5124430709173715,0.2677334719480782,0.02515349918445304,0.5108433734939759,0.5734939759036145,False
preprocess,AMZN,575,FULL,False,389,0.5567781690140845,0.24737962021588583,0.11672878090713508,0.5681233933161953,0.6246786632390745,False
preprocess,AMZN,575,FULL,True,415,0.6298447811134864,0.255442816933475,0.26229273976123,0.6313253012048192,0.42891566265060244,False
preprocess,AMZN,575,CONTROL,False,389,0.5567781690140845,0.24737962021588583,0.11672878090713508,0.5681233933161953,0.6246786632390745,False
preprocess,AMZN,575,CONTROL,True,415,0.6543707593642532,0.22291303044765742,0.31033929721336195,0.655421686746988,0.44819277108433736,False
preprocess,AMZN,575,FREQUENCY,False,389,0.5567781690140845,0.24737962021588583,0.11672878090713508,0.5681233933161953,0.6246786632390745,False
preprocess,AMZN,575,FREQUENCY,True,415,0.6492355237475602,0.22535106506167957,0.3010564772331569,0.6506024096385542,0.43373493975903615,False
preprocess,AMZN,575,NEGATION,False,389,0.5567781690140845,0.24737962021588583,0.11672878090713508,0.5681233933161953,0.6246786632390745,False
preprocess,AMZN,575,NEGATION,True,415,0.6543707593642532,0.2229709119639039,0.31033929721336195,0.655421686746988,0.44819277108433736,False
preprocess,AMZN,575,NUMERIC,False,389,0.5567781690140845,0.24737962021588583,0.11672878090713508,0.5681233933161953,0.6246786632390745,False
preprocess,AMZN,575,NUMERIC,True,415,0.668626266381634,0.22125773549091965,0.3397484740539523,0.6698795180722892,0.43855421686746987,False
preprocess,AMZN,575,NO_STEM,False,389,0.5567781690140845,0.24737962021588583,0.11672878090713508,0.5681233933161953,0.6246786632390745,False
preprocess,AMZN,575,NO_STEM,True,415,0.6372339436750627,0.22471885670286718,0.2766688549854693,0.6385542168674698,0.43614457831325304,False
grouped,AAPL,573,PRICE,False,6,0.3333333333333333,0.30922091908594557,-0.4472135954999579,0.3333333333333333,0.8333333333333334,False
grouped,AAPL,573,PRICE,True,797,0.5717624302384576,0.24704945069098364,0.14943098587471224,0.5834378920953576,0.644918444165621,False
grouped,AAPL,573,FULL,False,6,0.3333333333333333,0.30922091908594557,-0.4472135954999579,0.3333333333333333,0.8333333333333334,False
grouped,AAPL,573,FULL,True,797,0.5290778792491121,0.2723225676591344,0.0582667216949008,0.533249686323714,0.5520702634880803,False
grouped,AAPL,573,GROUP_SVM,False,6,0.3333333333333333,0.30922091908594557,-0.4472135954999579,0.3333333333333333,0.8333333333333334,False
grouped,AAPL,573,GROUP_SVM,True,797,0.49064561136478946,0.25082085437741886,-0.061103644085336896,0.5307402760351317,0.9761606022584692,False
