stage,symbol,method,reference,bootstrap,delta_BA,low,high
aggregation,AMZN,MEAN_THEN_MAP,FULL,day5,-0.012163791964049694,-0.029179834913147865,0.004615553850409388
aggregation,AMZN,MEAN_THEN_MAP,SET_BASE,day1,-0.004435963521015066,-0.012184908503970119,0.002893413215898603
aggregation,AMZN,MEAN_THEN_MAP,SET_BASE,day5,-0.004435963521015066,-0.011489301773523537,0.0032473792777884874
aggregation,AMZN,MEAN_THEN_MAP,MEAN_THEN_MAP,day1,0.0,0.0,0.0
aggregation,AMZN,MEAN_THEN_MAP,MEAN_THEN_MAP,day5,0.0,0.0,0.0
aggregation,AMZN,MAP_THEN_MEAN,CONTROL,day1,-0.018660785091197462,-0.037244550653023754,0.00046807393935065716
aggregation,AMZN,MAP_THEN_MEAN,CONTROL,day5,-0.018660785091197462,-0.03791196653833898,0.001189160575332992
aggregation,AMZN,MAP_THEN_MEAN,FULL,day1,-0.01007385011895321,-0.028810340315070272,0.008094141296501033
aggregation,AMZN,MAP_THEN_MEAN,FULL,day5,-0.01007385011895321,-0.02724070240195984,0.006434941386378009
aggregation,AMZN,MAP_THEN_MEAN,SET_BASE,day1,-0.0023460216759185826,-0.009831847810715293,0.005502619263970231
aggregation,AMZN,MAP_THEN_MEAN,SET_BASE,day5,-0.0023460216759185826,-0.009423979463574903,0.005837972670907731
aggregation,AMZN,MAP_THEN_MEAN,MEAN_THEN_MAP,day1,0.0020899418450964842,-0.00041997633573197105,0.005098048004377021
aggregation,AMZN,MAP_THEN_MEAN,MEAN_THEN_MAP,day5,0.0020899418450964842,-0.00040759857929105415,0.004975166710125279
