stage,symbol,seed,method,month,n,BA,Brier,MCC,accuracy,predicted_up,constant
aggregation,AAPL,573,MAP_THEN_MEAN,2018-11,60,0.5800889877641824,0.23574476829635443,0.16339011369947531,0.5833333333333334,0.6,False
aggregation,AAPL,573,MAP_THEN_MEAN,2018-12,53,0.6718266253869969,0.2142825466244682,0.34365325077399383,0.6981132075471698,0.3584905660377358,False
aggregation,AAPL,573,MAP_THEN_MEAN,2019-01,63,0.5358627858627859,0.23060972527165488,0.07271493669275418,0.5555555555555556,0.6190476190476191,False
aggregation,AAPL,573,MAP_THEN_MEAN,2019-02,2,,0.2812419687410143,,,0.5,False
aggregation,AAPL,574,PRICE,2018-01,59,0.5943287037037037,0.2337742903862721,0.2041279867372104,0.6101694915254238,0.6949152542372882,False
aggregation,AAPL,574,PRICE,2018-02,57,0.655,0.2169584983554559,0.31598125869132787,0.6666666666666666,0.6140350877192983,False
aggregation,AAPL,574,PRICE,2018-03,62,0.4302083333333333,0.2827498174261324,-0.1473898599264436,0.43548387096774194,0.6612903225806451,False
aggregation,AAPL,574,PRICE,2018-04,63,0.5589717741935484,0.2456485447709319,0.13052314094665607,0.5555555555555556,0.7142857142857143,False
aggregation,AAPL,574,PRICE,2018-05,66,0.4720410065237652,0.25177088758249705,-0.062315275321272165,0.5,0.7272727272727273,False
aggregation,AAPL,574,PRICE,2018-06,63,0.587962962962963,0.254035058920166,0.19613703301614183,0.6190476190476191,0.7301587301587301,False
aggregation,AAPL,574,PRICE,2018-07,60,0.5622710622710623,0.233042537620225,0.12962755308030863,0.6166666666666667,0.7,False
aggregation,AAPL,574,PRICE,2018-08,69,0.6143790849673203,0.22414657696656715,0.22487239817113244,0.6956521739130435,0.7246376811594203,False
aggregation,AAPL,574,PRICE,2018-09,57,0.5658866995073891,0.24096973237215727,0.1530409022617326,0.5614035087719298,0.7543859649122807,False
aggregation,AAPL,574,PRICE,2018-10,69,0.5294871794871795,0.24597499571085465,0.06201736729460422,0.5072463768115942,0.6666666666666666,False
aggregation,AAPL,574,PRICE,2018-11,60,0.5939933259176863,0.2701100443387299,0.20194733664534642,0.6,0.6833333333333333,False
aggregation,AAPL,574,PRICE,2018-12,53,0.6246130030959752,0.24457391817223792,0.23942009402752437,0.6226415094339622,0.4716981132075472,False
aggregation,AAPL,574,PRICE,2019-01,63,0.5530145530145529,0.25301223253045196,0.104518950072276,0.5555555555555556,0.5238095238095238,False
aggregation,AAPL,574,PRICE,2019-02,2,,0.3418896084196093,,,1.0,True
aggregation,AAPL,574,FULL,2018-01,59,0.6001157407407407,0.2665824091822641,0.20628945545116803,0.6101694915254238,0.6271186440677966,False
aggregation,AAPL,574,FULL,2018-02,57,0.7262500000000001,0.18562528804560946,0.4612307082510511,0.7368421052631579,0.6140350877192983,False
