stage,symbol,seed,block,method,n,BA,Brier,MCC,accuracy,predicted_up,constant
preprocess,AAPL,575,575_AAPL_4,NUMERIC,80,0.7032828282828283,0.20073973292530062,0.4151732768233098,0.7125,0.6125,False
preprocess,AAPL,575,575_AAPL_4,NO_STEM,80,0.7121212121212122,0.1951507687045832,0.4424976788687098,0.725,0.65,False
preprocess,AAPL,575,575_AAPL_5,PRICE,80,0.6539912005028284,0.22835364394392413,0.3171869863795086,0.6625,0.625,False
preprocess,AAPL,575,575_AAPL_5,FULL,80,0.5996228786926461,0.24258518330674111,0.1987467064891862,0.6,0.5125,False
preprocess,AAPL,575,575_AAPL_5,CONTROL,80,0.7291011942174732,0.1978613515342648,0.4582023884349466,0.725,0.4625,False
preprocess,AAPL,575,575_AAPL_5,FREQUENCY,80,0.7309868007542426,0.1979050145096716,0.46431420471913176,0.725,0.4375,False
preprocess,AAPL,575,575_AAPL_5,NEGATION,80,0.7426147077309868,0.1977059930218096,0.48630039450670404,0.7375,0.45,False
preprocess,AAPL,575,575_AAPL_5,NUMERIC,80,0.6923318667504714,0.19898379216929793,0.3855127479768172,0.6875,0.45,False
preprocess,AAPL,575,575_AAPL_5,NO_STEM,80,0.690446260213702,0.20611270584289437,0.38029541625022467,0.6875,0.475,False
preprocess,AAPL,575,575_AAPL_6,PRICE,80,0.5399120050282841,0.24398038916635514,0.08279126990615338,0.55,0.6375,False
preprocess,AAPL,575,575_AAPL_6,FULL,80,0.727215587680704,0.2310065704521706,0.4532929614879546,0.725,0.4875,False
preprocess,AAPL,575,575_AAPL_6,CONTROL,80,0.6847894406033941,0.2147807621496368,0.3703946009973342,0.6875,0.55,False
preprocess,AAPL,575,575_AAPL_6,FREQUENCY,80,0.6712759270898805,0.21920351686205247,0.34428740349922016,0.675,0.5625,False
preprocess,AAPL,575,575_AAPL_6,NEGATION,80,0.6983029541169076,0.21493261137907144,0.3966059082338152,0.7,0.5375,False
preprocess,AAPL,575,575_AAPL_6,NUMERIC,80,0.6731615336266499,0.21372558450910512,0.3463230672532998,0.675,0.5375,False
preprocess,AAPL,575,575_AAPL_6,NO_STEM,80,0.6596480201131364,0.2142149248402098,0.3200007777323908,0.6625,0.55,False
preprocess,AAPL,575,575_AAPL_7,PRICE,80,0.6288497800125707,0.22544711634223483,0.26540135595020103,0.6375,0.625,False
preprocess,AAPL,575,575_AAPL_7,FULL,80,0.6637335009428033,0.20920769787423507,0.3452890584424658,0.675,0.6625,False
preprocess,AAPL,575,575_AAPL_7,CONTROL,80,0.7448145820238843,0.20299478918391425,0.4959026955216805,0.75,0.5875,False
preprocess,AAPL,575,575_AAPL_7,FREQUENCY,80,0.7429289754871151,0.20257631915587532,0.4972393810257227,0.75,0.6125,False
preprocess,AAPL,575,575_AAPL_7,NEGATION,80,0.7448145820238843,0.20302160744060763,0.4959026955216805,0.75,0.5875,False
preprocess,AAPL,575,575_AAPL_7,NUMERIC,80,0.7023884349465745,0.20350825919234924,0.42312636791149016,0.7125,0.65,False
preprocess,AAPL,575,575_AAPL_7,NO_STEM,80,0.715901948460088,0.2059253924243089,0.4478551372088769,0.725,0.6375,False
preprocess,AAPL,575,575_AAPL_8,PRICE,80,0.571024512884978,0.24883090462828913,0.1586163720020494,0.5875,0.725,False
preprocess,AAPL,575,575_AAPL_8,FULL,80,0.6772470144563167,0.2564750497642426,0.37056408618335474,0.6875,0.65,False
preprocess,AAPL,575,575_AAPL_8,CONTROL,80,0.6693903205531113,0.22770622578825242,0.343121377260829,0.675,0.5875,False
preprocess,AAPL,575,575_AAPL_8,FREQUENCY,80,0.6172218730358265,0.22370846949562734,0.2399356909736023,0.625,0.6125,False
preprocess,AAPL,575,575_AAPL_8,NEGATION,80,0.6577624135763671,0.22750478405033467,0.31823669313654934,0.6625,0.575,False
preprocess,AAPL,575,575_AAPL_8,NUMERIC,80,0.6172218730358265,0.23453594724759924,0.2399356909736023,0.625,0.6125,False
preprocess,AAPL,575,575_AAPL_8,NO_STEM,80,0.6209930861093651,0.230366607158586,0.24321220247192615,0.625,0.5625,False
preprocess,AAPL,575,575_AAPL_9,PRICE,80,0.5012570710245129,0.25126099264010193,0.0026281140864067715,0.5125,0.65,False
preprocess,AAPL,575,575_AAPL_9,FULL,80,0.6288497800125707,0.23594654420677247,0.26540135595020103,0.6375,0.625,False
preprocess,AAPL,575,575_AAPL_9,CONTROL,80,0.6945317410433689,0.20018821607614665,0.3940484833477795,0.7,0.5875,False
preprocess,AAPL,575,575_AAPL_9,FREQUENCY,80,0.6558768070395977,0.20427514957518497,0.3172860505596491,0.6625,0.6,False
preprocess,AAPL,575,575_AAPL_9,NEGATION,80,0.6945317410433689,0.1996775904335565,0.3940484833477795,0.7,0.5875,False
preprocess,AAPL,575,575_AAPL_9,NUMERIC,80,0.6675047140163419,0.19688473269222734,0.34285716699445046,0.675,0.6125,False
preprocess,AAPL,575,575_AAPL_9,NO_STEM,80,0.6964173475801383,0.20154135387136812,0.39482500401286713,0.7,0.5625,False
preprocess,AMZN,573,573_AMZN_0,PRICE,81,0.6282051282051282,0.23383846597033012,0.2571965515905416,0.6296296296296297,0.5432098765432098,False
preprocess,AMZN,573,573_AMZN_0,FULL,81,0.7142857142857142,0.2288267037668175,0.4309458036856673,0.7160493827160493,0.5555555555555556,False
preprocess,AMZN,573,573_AMZN_0,CONTROL,81,0.6318681318681318,0.228724204622104,0.26519741765271837,0.6296296296296297,0.4444444444444444,False
preprocess,AMZN,573,573_AMZN_0,FREQUENCY,81,0.641941391941392,0.2307407373362459,0.28370963181795067,0.6419753086419753,0.5061728395061729,False
preprocess,AMZN,573,573_AMZN_0,NEGATION,81,0.6318681318681318,0.22872984773895103,0.26519741765271837,0.6296296296296297,0.4444444444444444,False
preprocess,AMZN,573,573_AMZN_0,NUMERIC,81,0.6318681318681318,0.22802613420439952,0.26519741765271837,0.6296296296296297,0.4444444444444444,False
preprocess,AMZN,573,573_AMZN_0,NO_STEM,81,0.6318681318681318,0.22708569674487508,0.26519741765271837,0.6296296296296297,0.4444444444444444,False
preprocess,AMZN,573,573_AMZN_1,PRICE,81,0.4276556776556777,0.26707519181358963,-0.14873923662052757,0.43209876543209874,0.6172839506172839,False
preprocess,AMZN,573,573_AMZN_1,FULL,81,0.543956043956044,0.25881972780956036,0.08791208791208792,0.5432098765432098,0.48148148148148145,False
preprocess,AMZN,573,573_AMZN_1,CONTROL,81,0.5430402930402931,0.23418580707826034,0.08602808190608828,0.5432098765432098,0.5061728395061729,False
preprocess,AMZN,573,573_AMZN_1,FREQUENCY,81,0.5659340659340659,0.2306056947451335,0.13259870882635919,0.5679012345679012,0.5555555555555556,False
preprocess,AMZN,573,573_AMZN_1,NEGATION,81,0.5430402930402931,0.23424159089115895,0.08602808190608828,0.5432098765432098,0.5061728395061729,False
preprocess,AMZN,573,573_AMZN_1,NUMERIC,81,0.5540293040293041,0.2301142579192079,0.10838997531315683,0.5555555555555556,0.5432098765432098,False
preprocess,AMZN,573,573_AMZN_1,NO_STEM,81,0.5421245421245421,0.23261552130386137,0.0843521412714032,0.5432098765432098,0.5308641975308642,False
preprocess,AMZN,573,573_AMZN_2,PRICE,81,0.5238095238095238,0.2537006192973222,0.05150787536377127,0.5308641975308642,0.691358024691358,False
preprocess,AMZN,573,573_AMZN_2,FULL,81,0.6510989010989011,0.21523782306785086,0.307305732434026,0.654320987654321,0.5925925925925926,False
preprocess,AMZN,573,573_AMZN_2,CONTROL,81,0.6758241758241759,0.21618064693573347,0.35759212501413934,0.6790123456790124,0.5925925925925926,False
preprocess,AMZN,573,573_AMZN_2,FREQUENCY,81,0.652014652014652,0.22016413850068714,0.3066616414948954,0.654320987654321,0.5679012345679012,False
preprocess,AMZN,573,573_AMZN_2,NEGATION,81,0.6758241758241759,0.21617411995668487,0.35759212501413934,0.6790123456790124,0.5925925925925926,False
preprocess,AMZN,573,573_AMZN_2,NUMERIC,81,0.6758241758241759,0.21501582740203945,0.35759212501413934,0.6790123456790124,0.5925925925925926,False
preprocess,AMZN,573,573_AMZN_2,NO_STEM,81,0.5915750915750916,0.22784818840880644,0.18337422015522434,0.5925925925925926,0.5308641975308642,False
preprocess,AMZN,573,573_AMZN_3,PRICE,81,0.5173992673992674,0.2540603355766977,0.03484110182949263,0.5185185185185185,0.5308641975308642,False
preprocess,AMZN,573,573_AMZN_3,FULL,81,0.6401098901098901,0.22545706707445723,0.28177225625601326,0.6419753086419753,0.5555555555555556,False
preprocess,AMZN,573,573_AMZN_3,CONTROL,81,0.7032967032967032,0.21606763517273161,0.4065934065934066,0.7037037037037037,0.5185185185185185,False
preprocess,AMZN,573,573_AMZN_3,FREQUENCY,81,0.6785714285714286,0.21712618918431464,0.35714285714285715,0.6790123456790124,0.5185185185185185,False
preprocess,AMZN,573,573_AMZN_3,NEGATION,81,0.7032967032967032,0.21607308805976422,0.4065934065934066,0.7037037037037037,0.5185185185185185,False
preprocess,AMZN,573,573_AMZN_3,NUMERIC,81,0.7032967032967032,0.2155044089901957,0.4065934065934066,0.7037037037037037,0.5185185185185185,False
preprocess,AMZN,573,573_AMZN_3,NO_STEM,81,0.6923076923076923,0.21981922784633676,0.38461538461538464,0.691358024691358,0.48148148148148145,False
preprocess,AMZN,573,573_AMZN_4,PRICE,80,0.5068922305764412,0.2656241281414715,0.014129518109389314,0.5125,0.6125,False
preprocess,AMZN,573,573_AMZN_4,FULL,80,0.5093984962406015,0.31516338502752095,0.018921890815214913,0.5125,0.5625,False
preprocess,AMZN,573,573_AMZN_4,CONTROL,80,0.5200501253132832,0.24376005196803172,0.04087595596566439,0.525,0.6,False
preprocess,AMZN,573,573_AMZN_4,FREQUENCY,80,0.5382205513784462,0.25322670828247146,0.07636936073943776,0.5375,0.4875,False
preprocess,AMZN,573,573_AMZN_4,NEGATION,80,0.550125313283208,0.2528459567852675,0.10012523486435178,0.55,0.5,False
preprocess,AMZN,573,573_AMZN_4,NUMERIC,80,0.5200501253132832,0.24349447812208974,0.04087595596566439,0.525,0.6,False
preprocess,AMZN,573,573_AMZN_4,NO_STEM,80,0.550125313283208,0.251442274522859,0.10012523486435178,0.55,0.5,False
