phase,symbol,month,method,n,BA,accuracy,MCC,Brier,AUC,pred_up,constant
development,AMZN,2018-09,ORIG_FINBERT,57,0.41995073891625617,0.42105263157894735,-0.16129479177027617,0.2759682940694396,0.5073891625615763,0.43859649122807015,False
development,AMZN,2018-10,ORIG_FINBERT,69,0.5446428571428572,0.4782608695652174,0.08625819491779428,0.3155653486629534,0.5962301587301587,0.6521739130434783,False
development,AMZN,2018-09,L1_FILTERED_FINBERT,57,0.5055418719211823,0.5087719298245614,0.011920540257484747,0.24741626452150384,0.6022167487684729,0.3157894736842105,False
development,AMZN,2018-10,L1_FILTERED_FINBERT,69,0.6398809523809523,0.5362318840579711,0.28373035694457344,0.24814071252073605,0.7371031746031746,0.7101449275362319,False
development,AMZN,2018-09,L2_FACT_CHANGE,57,0.458128078817734,0.45614035087719296,-0.08599744243243347,0.2584608314980288,0.5307881773399015,0.6140350877192983,False
development,AMZN,2018-10,L2_FACT_CHANGE,69,0.53125,0.4782608695652174,0.05934571705169,0.2726403299259229,0.615079365079365,0.6231884057971014,False
development,AMZN,2018-09,L3_CASE_VOTE,57,0.5467980295566502,0.543859649122807,0.09925833339709303,0.2670684578777859,0.5295566502463054,0.6666666666666666,False
development,AMZN,2018-10,L3_CASE_VOTE,69,0.5580357142857143,0.4782608695652174,0.11460282580146103,0.28342843598511835,0.6656746031746033,0.6811594202898551,False
development,AMZN,2018-09,L4_LLM_ANALOGY,57,0.47598522167487683,0.47368421052631576,-0.04977665340318334,0.26348832319443444,0.5197044334975369,0.631578947368421,False
development,AMZN,2018-10,L4_LLM_ANALOGY,69,0.5416666666666666,0.4927536231884058,0.07856742013183861,0.2788264595358372,0.6041666666666666,0.6086956521739131,False
development,AMZN,2018-09,L5_GUARDED_SYSTEM,57,0.5467980295566502,0.543859649122807,0.09925833339709303,0.2670684578777859,0.5295566502463054,0.6666666666666666,False
development,AMZN,2018-10,L5_GUARDED_SYSTEM,69,0.5580357142857143,0.4782608695652174,0.11460282580146103,0.28342843598511835,0.6656746031746033,0.6811594202898551,False
later,AAPL,2018-11,PRICE_R1,60,0.5261401557285873,0.5333333333333333,0.05797747850973157,0.25403661854843856,0.5305895439377085,0.7166666666666667,False
later,AAPL,2018-12,PRICE_R1,53,0.6385448916408669,0.5660377358490566,0.2949846002743204,0.25395936945559855,0.6114551083591332,0.7169811320754716,False
later,AAPL,2019-01,PRICE_R1,63,0.485966735966736,0.5238095238095238,-0.030586777135731963,0.25486671639997927,0.46569646569646567,0.7142857142857143,False
later,AAPL,2019-02,PRICE_R1,2,,0.0,0.0,0.3846307444858184,,1.0,True
later,AAPL,2018-11,AUG_UNFILTERED_FINBERT,60,0.5778642936596218,0.5833333333333334,0.16508332072280238,0.24502653350658182,0.5873192436040046,0.6666666666666666,False
later,AAPL,2018-12,AUG_UNFILTERED_FINBERT,53,0.5619195046439628,0.4528301886792453,0.17540654413022408,0.27270466095924745,0.6671826625386996,0.8679245283018868,False
later,AAPL,2019-01,AUG_UNFILTERED_FINBERT,63,0.5550935550935552,0.5714285714285714,0.11088084491130999,0.25619178496167516,0.49688149688149685,0.6031746031746031,False
later,AAPL,2019-02,AUG_UNFILTERED_FINBERT,2,,0.0,0.0,0.3375080238045389,,1.0,True
later,AAPL,2018-11,ORIG_FINBERT,60,0.6262513904338154,0.6333333333333333,0.28001888556827803,0.250491603937426,0.6451612903225807,0.7166666666666667,False
later,AAPL,2018-12,ORIG_FINBERT,53,0.5007739938080495,0.4339622641509434,0.0016837880371435127,0.3342213897787733,0.5092879256965944,0.7358490566037735,False
later,AAPL,2019-01,ORIG_FINBERT,63,0.5784823284823285,0.6190476190476191,0.1775335718988042,0.2725644790519098,0.5083160083160083,0.746031746031746,False
later,AAPL,2019-02,ORIG_FINBERT,2,,0.0,0.0,0.45905556181679336,,1.0,True
