method,symbol,phase,stratum,n,BA,MCC,Brier,predicted_up,constant
P1,AMZN,development,has_analog,2,,0.0,0.1831134391212938,1.0,1
P1,AMZN,development,no_analog,124,0.5033158331030672,0.006605254191557962,0.2737857483235044,0.6129032258064516,0
P1,AMZN,development,no_original_news,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.5094339622641509,0
P1,AMZN,later,has_analog,2,,0.0,0.2609369291076642,0.5,0
P1,AMZN,later,no_analog,177,0.5152173913043478,0.031261216574968866,0.2702596504051037,0.615819209039548,0
P1,AMZN,later,no_original_news,95,0.5596187943262412,0.12613553931990254,0.24290844019334246,0.6631578947368421,0
P1,AMZN,train_oof,has_analog,32,0.4916666666666667,-0.01698823971458752,0.26797454490826333,0.65625,0
P1,AMZN,train_oof,no_analog,350,0.5216943162854618,0.04547915687104442,0.25787319763874905,0.6514285714285715,0
P1,AMZN,train_oof,no_original_news,184,0.571150097465887,0.15750225190539477,0.24499033244624976,0.7282608695652174,0
P2,AAPL,development,has_analog,21,0.6227272727272727,0.24771684715343112,0.2520746868300979,0.5714285714285714,0
P2,AAPL,development,no_analog,105,0.5345394736842105,0.07024393586862704,0.28633237761881575,0.4,0
P2,AAPL,development,no_original_news,2,,0.0,0.219583675438098,0.5,0
P2,AAPL,later,has_analog,19,0.4107142857142857,-0.18531232916527532,0.42437823705125516,0.3157894736842105,0
P2,AAPL,later,no_analog,159,0.5157142857142858,0.0350686992144886,0.3536447736855326,0.27672955974842767,0
P2,AAPL,train_oof,has_analog,121,0.5164835164835164,0.03306711250252772,0.2958752001905954,0.5537190082644629,0
P2,AAPL,train_oof,no_analog,262,0.5358056265984654,0.06934907679467225,0.33864860719535556,0.41603053435114506,0
P2,AAPL,train_oof,no_original_news,4,0.6666666666666666,0.3333333333333333,0.2587048015148473,0.75,0
P2,AMZN,development,has_analog,2,,0.0,0.184372925923261,0.5,0
P2,AMZN,development,no_analog,124,0.5646587455098093,0.12606748580086227,0.26214207930475963,0.45161290322580644,0
P2,AMZN,development,no_original_news,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.5094339622641509,0
P2,AMZN,later,has_analog,2,,0.0,0.36306803944982735,0.5,0
P2,AMZN,later,no_analog,177,0.5681585677749361,0.13737524044679036,0.24786239109549205,0.5649717514124294,0
P2,AMZN,later,no_original_news,95,0.5596187943262412,0.12613553931990254,0.24290844019334246,0.6631578947368421,0
P2,AMZN,train_oof,has_analog,32,0.45,-0.1044465935734187,0.3060185303855796,0.6875,0
P2,AMZN,train_oof,no_analog,350,0.5392820915545957,0.07950632749809158,0.28653936214474574,0.58,0
P2,AMZN,train_oof,no_original_news,184,0.571150097465887,0.15750225190539477,0.24499033244624976,0.7282608695652174,0
P3,AAPL,development,has_analog,21,0.5772727272727273,0.1589409883014377,0.29004534169943824,0.6190476190476191,0
P3,AAPL,development,no_analog,105,0.5345394736842105,0.07024393586862704,0.28633237761881575,0.4,0
P3,AAPL,development,no_original_news,2,,0.0,0.219583675438098,0.5,0
P3,AAPL,later,has_analog,19,0.38095238095238093,-0.2326210525996177,0.3801837903539861,0.42105263157894735,0
P3,AAPL,later,no_analog,159,0.5157142857142858,0.0350686992144886,0.3536447736855326,0.27672955974842767,0
P3,AAPL,train_oof,has_analog,121,0.47184065934065933,-0.056179946160127794,0.3198289296070016,0.512396694214876,0
P3,AAPL,train_oof,no_analog,262,0.5358056265984654,0.06934907679467225,0.33864860719535556,0.41603053435114506,0
P3,AAPL,train_oof,no_original_news,4,0.6666666666666666,0.3333333333333333,0.2587048015148473,0.75,0
P3,AMZN,development,has_analog,2,,0.0,0.08790801335542206,1.0,1
P3,AMZN,development,no_analog,124,0.5646587455098093,0.12606748580086227,0.26214207930475963,0.45161290322580644,0
P3,AMZN,development,no_original_news,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.5094339622641509,0
P3,AMZN,later,has_analog,2,,0.0,0.36183229674939255,0.5,0
P3,AMZN,later,no_analog,177,0.5681585677749361,0.13737524044679036,0.24786239109549205,0.5649717514124294,0
P3,AMZN,later,no_original_news,95,0.5596187943262412,0.12613553931990254,0.24290844019334246,0.6631578947368421,0
P3,AMZN,train_oof,has_analog,32,0.525,0.048507125007266595,0.30380362446035,0.53125,0
P3,AMZN,train_oof,no_analog,350,0.5392820915545957,0.07950632749809158,0.28653936214474574,0.58,0
