phase,symbol,month,method,n,BA,accuracy,MCC,Brier,AUC,up_recall,down_recall,pred_up,constant
later,AMZN,2019-01,ORIG_TFIDF_SVM,63,0.4815789473684211,0.5396825396825397,-0.043355498476206004,0.2533601234926601,0.4631578947368421,0.7631578947368421,0.2,0.7777777777777778,False
later,AMZN,2019-02,ORIG_TFIDF_SVM,2,0.5,0.5,0.0,0.26145143278404165,0.0,1.0,0.0,1.0,True
later,AMZN,2018-11,ORIG_FINBERT_LR,60,0.5694444444444444,0.6,0.14433756729740643,0.2696937342779578,0.5532407407407408,0.7222222222222222,0.4166666666666667,0.6666666666666666,False
later,AMZN,2018-12,ORIG_FINBERT_LR,54,0.544360902255639,0.5185185185185185,0.08568334725853646,0.2564036519905896,0.637593984962406,0.631578947368421,0.45714285714285713,0.5740740740740741,False
later,AMZN,2019-01,ORIG_FINBERT_LR,63,0.5163157894736843,0.5238095238095238,0.03203033152014646,0.25860775810321435,0.5073684210526317,0.5526315789473685,0.48,0.5396825396825397,False
later,AMZN,2019-02,ORIG_FINBERT_LR,2,0.5,0.5,0.0,0.26145143278404165,0.0,1.0,0.0,1.0,True
later,AMZN,2018-11,ORIG_FINMODERN_LR,60,0.5208333333333334,0.5666666666666667,0.046159309117249775,0.25382874214248796,0.48726851851851855,0.75,0.2916666666666667,0.7333333333333333,False
later,AMZN,2018-12,ORIG_FINMODERN_LR,54,0.47518796992481205,0.4444444444444444,-0.04861121766990861,0.25265190577477287,0.6195488721804512,0.5789473684210527,0.37142857142857144,0.6111111111111112,False
later,AMZN,2019-01,ORIG_FINMODERN_LR,63,0.5478947368421052,0.6031746031746031,0.11272429603813561,0.241770884484617,0.5189473684210526,0.8157894736842105,0.28,0.7777777777777778,False
later,AMZN,2019-02,ORIG_FINMODERN_LR,2,0.5,0.5,0.0,0.25014966329748883,1.0,1.0,0.0,1.0,True
later,AMZN,2018-11,ORIG_EVENT_META,60,0.5902777777777778,0.6166666666666667,0.18544954675472894,0.24534454659818966,0.5810185185185185,0.7222222222222222,0.4583333333333333,0.65,False
later,AMZN,2018-12,ORIG_EVENT_META,54,0.575187969924812,0.5740740740740741,0.14372207796170244,0.2427538880571546,0.5789473684210525,0.5789473684210527,0.5714285714285714,0.48148148148148145,False
later,AMZN,2019-01,ORIG_EVENT_META,63,0.5431578947368421,0.5396825396825397,0.08446877845160874,0.2554967724159822,0.4926315789473684,0.5263157894736842,0.56,0.49206349206349204,False
later,AMZN,2019-02,ORIG_EVENT_META,2,0.5,0.5,0.0,0.26145143278404165,0.0,1.0,0.0,1.0,True
train_forward_oof,AAPL,2018-03,PRICE_R1,62,0.42291666666666666,0.41935483870967744,-0.15817166261312793,0.3121820509569317,0.4395833333333333,0.3125,0.5333333333333333,0.3870967741935484,False
train_forward_oof,AAPL,2018-04,PRICE_R1,63,0.5564516129032258,0.5555555555555556,0.11359236684941297,0.2427480052414925,0.592741935483871,0.6129032258064516,0.5,0.5555555555555556,False
train_forward_oof,AAPL,2018-05,PRICE_R1,66,0.5671015843429636,0.5606060606060606,0.13376754398878044,0.24930082061036912,0.5582479030754892,0.5135135135135135,0.6206896551724138,0.45454545454545453,False
train_forward_oof,AAPL,2018-06,PRICE_R1,63,0.4907407407407407,0.47619047619047616,-0.018731716231633878,0.2663216143320161,0.4403292181069959,0.3888888888888889,0.5925925925925926,0.3968253968253968,False
train_forward_oof,AAPL,2018-07,PRICE_R1,60,0.586080586080586,0.5333333333333333,0.17216117216117216,0.24446613983237067,0.645909645909646,0.41025641025641024,0.7619047619047619,0.35,False
