symbol,phase,period,method,n,BA,MCC,Brier,accuracy,up_recall,down_recall,pred_up,coverage
AAPL,frozen,2018-11,no_title,60,0.5723025583982202,0.19390031038416244,0.25194789115543215,0.5833333333333334,0.9032258064516129,0.2413793103448276,0.8333333333333334,1.0
AAPL,frozen,2018-11,uniform,60,0.5216907675194661,0.06071254220575628,0.25492289633541115,0.5333333333333333,0.8709677419354839,0.1724137931034483,0.85,1.0
AAPL,frozen,2018-12,price,53,0.5712074303405573,0.14876840780186812,0.28313490233753635,0.5094339622641509,0.7894736842105263,0.35294117647058826,0.6981132075471698,1.0
AAPL,frozen,2018-12,title,53,0.5681114551083591,0.15183249942890767,0.28236599956090924,0.49056603773584906,0.8421052631578947,0.29411764705882354,0.7547169811320755,1.0
AAPL,frozen,2018-12,body,53,0.5565015479876161,0.12030098223477871,0.2596946425076442,0.49056603773584906,0.7894736842105263,0.3235294117647059,0.7169811320754716,1.0
AAPL,frozen,2018-12,semantic,53,0.5007739938080495,0.0016837880371435127,0.3342213897787733,0.4339622641509434,0.7368421052631579,0.2647058823529412,0.7358490566037735,1.0
AAPL,frozen,2018-12,integrated,53,0.5712074303405573,0.14876840780186812,0.2774829244704374,0.5094339622641509,0.7894736842105263,0.35294117647058826,0.6981132075471698,1.0
AAPL,frozen,2018-12,multi_only,53,0.5712074303405573,0.14876840780186812,0.2774829244704374,0.5094339622641509,0.7894736842105263,0.35294117647058826,0.6981132075471698,1.0
AAPL,frozen,2018-12,no_semantic,53,0.5797213622291022,0.1885384697800485,0.27542177505441084,0.49056603773584906,0.8947368421052632,0.2647058823529412,0.7924528301886793,1.0
AAPL,frozen,2018-12,no_body,53,0.5712074303405573,0.14876840780186812,0.291232148208945,0.5094339622641509,0.7894736842105263,0.35294117647058826,0.6981132075471698,1.0
AAPL,frozen,2018-12,no_title,53,0.5712074303405573,0.14876840780186812,0.2774829244704374,0.5094339622641509,0.7894736842105263,0.35294117647058826,0.6981132075471698,1.0
AAPL,frozen,2018-12,uniform,53,0.5565015479876161,0.12030098223477871,0.2838809065708288,0.49056603773584906,0.7894736842105263,0.3235294117647059,0.7169811320754716,1.0
AAPL,frozen,2019-01,price,63,0.4688149688149688,-0.0781966239492789,0.262109176335923,0.5238095238095238,0.7837837837837838,0.15384615384615385,0.8095238095238095,1.0
AAPL,frozen,2019-01,title,63,0.4573804573804574,-0.12603755744009754,0.25816578909241555,0.5238095238095238,0.8378378378378378,0.07692307692307693,0.873015873015873,1.0
AAPL,frozen,2019-01,body,63,0.48804573804573803,-0.029085974677101674,0.25620523177629684,0.5396825396825397,0.7837837837837838,0.19230769230769232,0.7936507936507936,1.0
AAPL,frozen,2019-01,semantic,63,0.5784823284823285,0.1775335718988042,0.2725644790519098,0.6190476190476191,0.8108108108108109,0.34615384615384615,0.746031746031746,1.0
AAPL,frozen,2019-01,integrated,63,0.5207900207900208,0.05058430378626378,0.25655720503186263,0.5714285714285714,0.8108108108108109,0.23076923076923078,0.7936507936507936,1.0
AAPL,frozen,2019-01,multi_only,63,0.5207900207900208,0.05058430378626378,0.25655720503186263,0.5714285714285714,0.8108108108108109,0.23076923076923078,0.7936507936507936,1.0
