phase,symbol,flag,value,method,n,BA,MCC,Brier,AUC,up_recall,down_recall,pred_up,constant
development,AMZN,has_original_news,1,F1_temperature,73,0.5994363929146538,0.20049361773565857,0.24976226674847357,0.5901771336553945,0.48148148148148145,0.717391304347826,0.3561643835616438,False
development,AMZN,has_usable_text,0,F1_temperature,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.5689149560117303,0.5,0.4838709677419355,0.5094339622641509,False
development,AMZN,has_usable_text,1,F1_temperature,73,0.5994363929146538,0.20049361773565857,0.24976226674847357,0.5901771336553945,0.48148148148148145,0.717391304347826,0.3561643835616438,False
development,AMZN,has_qualified_event,0,F1_temperature,118,0.5585748792270531,0.11630996441185117,0.25613025452314797,0.5431763285024155,0.4782608695652174,0.6388888888888888,0.4067796610169492,False
development,AMZN,has_qualified_event,1,F1_temperature,8,0.5333333333333333,0.06666666666666667,0.24978632655768587,0.3333333333333333,0.6666666666666666,0.4,0.625,False
development,AMZN,has_original_news,0,F1_platt_shrunk,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.5689149560117303,0.5,0.4838709677419355,0.5094339622641509,False
development,AMZN,has_original_news,1,F1_platt_shrunk,73,0.46537842190016104,-0.08490780809508194,0.24346139246721304,0.5901771336553945,0.14814814814814814,0.782608695652174,0.1917808219178082,False
development,AMZN,has_usable_text,0,F1_platt_shrunk,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.5689149560117303,0.5,0.4838709677419355,0.5094339622641509,False
development,AMZN,has_usable_text,1,F1_platt_shrunk,73,0.46537842190016104,-0.08490780809508194,0.24346139246721304,0.5901771336553945,0.14814814814814814,0.782608695652174,0.1917808219178082,False
development,AMZN,has_qualified_event,0,F1_platt_shrunk,118,0.48943236714975846,-0.02177587319802537,0.2526161031515733,0.5782004830917874,0.32608695652173914,0.6527777777777778,0.3389830508474576,False
development,AMZN,has_qualified_event,1,F1_platt_shrunk,8,0.4,-0.29277002188455997,0.244124581471911,0.3333333333333333,0.0,0.8,0.125,False
development,AMZN,has_original_news,0,F1_calibrated,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.5689149560117303,0.5,0.4838709677419355,0.5094339622641509,False
development,AMZN,has_original_news,1,F1_calibrated,73,0.46537842190016104,-0.08490780809508194,0.24346139246721304,0.5901771336553945,0.14814814814814814,0.782608695652174,0.1917808219178082,False
