variant,method,parameter,symbol,month,n,BA,MCC,Brier,pred_up,constant,selected_oof,selected_final,return_MAE,return_RMSE,return_corr
price,C2,1.0,AAPL,2018-06,63,0.4629629629629629,-0.07339758434175737,0.28544120755532987,0.47619047619047616,0,,,0.005002573933931336,0.006189611799743926,0.030014753988108392
price,C2,0.0,AMZN,2018-06,63,0.5489130434782609,0.10425720702853737,0.22695343551989597,0.7142857142857143,0,,,0.006076188199941276,0.008122424544807539,-0.24541742358154411
price,C2,0.1,AMZN,2018-06,63,0.5489130434782609,0.10425720702853737,0.2271691215043563,0.7142857142857143,0,,,0.005721041530308562,0.007711336851595094,0.31434849111470625
price,C2,0.5,AMZN,2018-06,63,0.5489130434782609,0.10425720702853737,0.22707537632021052,0.7142857142857143,0,,,0.0057204957674973035,0.007699971094499141,0.31703289356509273
price,C2,1.0,AMZN,2018-06,63,0.5489130434782609,0.10425720702853737,0.22721684275798235,0.7142857142857143,0,,,0.005722005896659664,0.007697335214715086,0.3179752561548329
price,C2,0.0,AAPL,2018-07,60,0.6172161172161172,0.22413272587221034,0.24308727725672075,0.5333333333333333,0,,,0.004555224862049816,0.006222936517885877,-0.15491913116311143
price,C2,0.1,AAPL,2018-07,60,0.6172161172161172,0.22413272587221034,0.24330510618795198,0.5333333333333333,0,,,0.005149894144266099,0.006827602097990062,-0.01657620014031127
price,C2,0.5,AAPL,2018-07,60,0.6172161172161172,0.22413272587221034,0.24332176708645453,0.5333333333333333,0,,,0.005272983683362384,0.00695094824432905,-0.047040386700517155
price,C2,1.0,AAPL,2018-07,60,0.6172161172161172,0.22413272587221034,0.24336578409812595,0.5333333333333333,0,,,0.00529210150946774,0.0069689573391585055,-0.05105727741782682
price,C2,0.0,AMZN,2018-07,60,0.5833333333333334,0.20227834851568371,0.2523810753174719,0.7833333333333333,0,,,0.007059089763646076,0.009457095908579898,0.0669189352716174
price,C2,0.1,AMZN,2018-07,60,0.5833333333333334,0.20227834851568371,0.2523763434829632,0.7833333333333333,0,,,0.006701424658292885,0.009750292433390565,0.08241067043130838
price,C2,0.5,AMZN,2018-07,60,0.6,0.25,0.2523238343293803,0.8,0,,,0.006672970704511631,0.009767034855600487,0.08977755711222266
price,C2,1.0,AMZN,2018-07,60,0.6,0.25,0.2524442393005717,0.8,0,,,0.00667161756210358,0.009773761740064788,0.09038573790649583
price,C2,0.0,AAPL,2018-08,69,0.6127450980392157,0.21004201260420147,0.21832785836926902,0.6666666666666666,0,,,0.005061626626822027,0.0071055372973410965,-0.15165033531639582
price,C2,0.1,AAPL,2018-08,69,0.6127450980392157,0.21004201260420147,0.21824093763675495,0.6666666666666666,0,,,0.004956177438740889,0.006858220062361569,0.2458023925319064
price,C2,0.5,AAPL,2018-08,69,0.6127450980392157,0.21004201260420147,0.2182186000669333,0.6666666666666666,0,,,0.004975998854711359,0.006880731637807407,0.25494558969318404
price,C2,1.0,AAPL,2018-08,69,0.6127450980392157,0.21004201260420147,0.21821198660316463,0.6666666666666666,0,,,0.004977871463163204,0.006883191045885133,0.25618766545867866
price,C2,0.0,AMZN,2018-08,69,0.6383620689655172,0.2798784825060619,0.22457253057313792,0.6086956521739131,0,,,0.005772522403797131,0.007305368536206874,-0.3049326759228259
price,C2,0.1,AMZN,2018-08,69,0.6383620689655172,0.2798784825060619,0.2246503387279118,0.6086956521739131,0,,,0.0053907143814648254,0.00690515535987324,0.32323945549863203
price,C2,0.5,AMZN,2018-08,69,0.6383620689655172,0.2798784825060619,0.2246790347525988,0.6086956521739131,0,,,0.005397123976428595,0.006915061567987235,0.3237767242329161
price,C2,1.0,AMZN,2018-08,69,0.6383620689655172,0.2798784825060619,0.22462802452605227,0.6086956521739131,0,,,0.005399848423141725,0.006919412867155969,0.32271785399904385
price,C2,0.0,AAPL,2018-03,62,0.46875,-0.0625978857295168,0.3522343225442419,0.46774193548387094,0,True,,0.007592051715075821,0.010121845079397573,-0.06432562361505116
price,C2,0.0,AMZN,2018-03,62,0.4777777777777778,-0.044657608470472246,0.3727004744355071,0.5806451612903226,0,True,,0.008640778484255684,0.012128511673250254,0.22800332154307545
price,C2,0.0,AAPL,2018-04,63,0.44606854838709675,-0.11022145480880653,0.32993825894316414,0.6031746031746031,0,True,,0.007548469844384451,0.009912840044127734,0.0774805743909543
price,C2,0.0,AMZN,2018-04,63,0.45357142857142857,-0.09372184261837677,0.33000255942562234,0.5873015873015873,0,True,,0.010747857203259475,0.014020705794343185,-0.165465660661699
