symbol,seed,coverage,method,n,up,down,errors,can_modify,changed,repaired,introduced,BA,Brier,MCC,accuracy,predicted_up,constant,log_loss,TPR,TNR
AMZN,574,no_news,A1,389,213,176,180,0,0,0,0,0.5217002774221084,0.25097340841262733,0.045795189357902305,0.5372750642673522,0.6658097686375322,False,0.6972902394319163,0.6854460093896714,0.35795454545454547
AMZN,574,no_news,A2,389,213,176,180,0,0,0,0,0.5217002774221084,0.25097340841262733,0.045795189357902305,0.5372750642673522,0.6658097686375322,False,0.6972902394319163,0.6854460093896714,0.35795454545454547
AMZN,574,no_news,A3,389,213,176,180,0,0,0,0,0.5217002774221084,0.25097340841262733,0.045795189357902305,0.5372750642673522,0.6658097686375322,False,0.6972902394319163,0.6854460093896714,0.35795454545454547
AMZN,574,no_news,B1,389,213,176,180,0,0,0,0,0.5217002774221084,0.25097340841262733,0.045795189357902305,0.5372750642673522,0.6658097686375322,False,0.6972902394319163,0.6854460093896714,0.35795454545454547
AMZN,574,no_news,B2,389,213,176,180,0,0,0,0,0.5217002774221084,0.25097340841262733,0.045795189357902305,0.5372750642673522,0.6658097686375322,False,0.6972902394319163,0.6854460093896714,0.35795454545454547
AMZN,574,no_news,FULL_SHRINK,389,213,176,180,0,0,0,0,0.5217002774221084,0.25097340841262733,0.045795189357902305,0.5372750642673522,0.6658097686375322,False,0.6972902394319163,0.6854460093896714,0.35795454545454547
AMZN,574,target_paragraph,FULL,412,200,212,142,0,0,0,0,0.6540566037735849,0.25914604307266603,0.30944434588779857,0.6553398058252428,0.45145631067961167,False,0.8447066203262278,0.61,0.6981132075471698
AMZN,574,target_paragraph,TFIDF_SVM,412,200,212,135,0,67,37,30,0.6714150943396227,0.22575271979508899,0.34359684355228076,0.6723300970873787,0.46359223300970875,False,0.6442989445608049,0.64,0.7028301886792453
AMZN,574,target_paragraph,A1,412,200,212,135,412,89,48,41,0.671556603773585,0.23557861920956072,0.3436526143447372,0.6723300970873787,0.4684466019417476,False,0.6639103692056113,0.645,0.6981132075471698
AMZN,574,target_paragraph,A2,412,200,212,141,412,91,46,45,0.6559905660377359,0.2319582390141103,0.3145623799107522,0.6577669902912622,0.4344660194174757,False,0.6566618853550374,0.595,0.7169811320754716
AMZN,574,target_paragraph,A3,412,200,212,140,412,72,37,35,0.6604716981132075,0.2246125663599554,0.3208223540210064,0.6601941747572816,0.5048543689320388,False,0.6418328961771972,0.67,0.6509433962264151
AMZN,574,target_paragraph,B1,412,200,212,142,412,8,4,4,0.6539150943396226,0.2583947150966565,0.30946946335167796,0.6553398058252428,0.44660194174757284,False,0.8403789236667598,0.605,0.7028301886792453
AMZN,574,target_paragraph,B2,412,200,212,140,412,42,22,20,0.6599056603773585,0.2696926919294748,0.31981132075471697,0.6601941747572816,0.4854368932038835,False,1.0110546579902215,0.65,0.6698113207547169
AMZN,574,target_paragraph,FULL_SHRINK,412,200,212,142,0,0,0,0,0.6540566037735849,0.22523815876416536,0.30944434588779857,0.6553398058252428,0.45145631067961167,False,0.642806849110249,0.61,0.6981132075471698
AMZN,575,news_without_target_paragraph,FULL,3,3,0,2,0,0,0,0,,0.476139710992558,,0.3333333333333333,0.3333333333333333,False,1.253771543606968,0.3333333333333333,
