source,record,variant,symbol,period,method,slope,intercept,train_n,monotone_non_decreasing
outputs/stock_paper_methods_4h/v1/calibration.csv,12,F1,AAPL,2018-05,identity,1.0,0.0,122,True
outputs/stock_paper_methods_4h/v1/calibration.csv,13,F1,AAPL,2018-05,temperature,0.010051835744633586,0.0,122,True
outputs/stock_paper_methods_4h/v1/calibration.csv,14,F1,AAPL,2018-05,platt_shrunk,0.43878059722200574,-0.02311345989206359,122,True
outputs/stock_paper_methods_4h/v1/calibration.csv,15,F1,AMZN,2018-05,identity,1.0,0.0,70,True
outputs/stock_paper_methods_4h/v1/calibration.csv,16,F1,AMZN,2018-05,temperature,0.010051835744633586,0.0,70,True
outputs/stock_paper_methods_4h/v1/calibration.csv,17,F1,AMZN,2018-05,platt_shrunk,0.36293178167297024,-0.15286385984308717,70,True
outputs/stock_paper_methods_4h/v1/calibration.csv,18,F1,AAPL,2018-06,identity,1.0,0.0,188,True
outputs/stock_paper_methods_4h/v1/calibration.csv,19,F1,AAPL,2018-06,temperature,0.010051835744633586,0.0,188,True
outputs/stock_paper_methods_4h/v1/calibration.csv,20,F1,AAPL,2018-06,platt_shrunk,0.385160316006386,0.057481776648824374,188,True
outputs/stock_paper_methods_4h/v1/calibration.csv,21,F1,AMZN,2018-06,identity,1.0,0.0,110,True
outputs/stock_paper_methods_4h/v1/calibration.csv,22,F1,AMZN,2018-06,temperature,0.010051835744633586,0.0,110,True
outputs/stock_paper_methods_4h/v1/calibration.csv,23,F1,AMZN,2018-06,platt_shrunk,0.3252091902828586,-0.06929182642739355,110,True
outputs/stock_paper_methods_4h/v1/calibration.csv,24,F1,AAPL,2018-07,identity,1.0,0.0,251,True
outputs/stock_paper_methods_4h/v1/calibration.csv,25,F1,AAPL,2018-07,temperature,0.010051835744633586,0.0,251,True
outputs/stock_paper_methods_4h/v1/calibration.csv,26,F1,AAPL,2018-07,platt_shrunk,0.3307410898056604,0.1098863760927917,251,True
outputs/stock_paper_methods_4h/v1/calibration.csv,27,F1,AMZN,2018-07,identity,1.0,0.0,142,True
outputs/stock_paper_methods_4h/v1/calibration.csv,28,F1,AMZN,2018-07,temperature,0.010051835744633586,0.0,142,True
outputs/stock_paper_methods_4h/v1/calibration.csv,29,F1,AMZN,2018-07,platt_shrunk,0.18889975906159365,0.05223467014321212,142,True
outputs/stock_paper_methods_4h/v1/calibration.csv,30,F1,AAPL,2018-08,identity,1.0,0.0,311,True
outputs/stock_paper_methods_4h/v1/calibration.csv,31,F1,AAPL,2018-08,temperature,0.040014024082077264,0.0,311,True
outputs/stock_paper_methods_4h/v1/calibration.csv,32,F1,AAPL,2018-08,platt_shrunk,0.3552866195763731,0.1926876658763538,311,True
outputs/stock_paper_methods_4h/v1/calibration.csv,33,F1,AMZN,2018-08,identity,1.0,0.0,167,True
outputs/stock_paper_methods_4h/v1/calibration.csv,34,F1,AMZN,2018-08,temperature,0.010051835744633586,0.0,167,True
outputs/stock_paper_methods_4h/v1/calibration.csv,35,F1,AMZN,2018-08,platt_shrunk,0.20871003932479865,-0.016129892734071182,167,True
outputs/stock_paper_methods_4h/v1/calibration.csv,36,F1,AAPL,final,identity,1.0,0.0,379,True
outputs/stock_paper_methods_4h/v1/calibration.csv,37,F1,AAPL,final,temperature,0.11014619171268547,0.0,379,True
outputs/stock_paper_methods_4h/v1/calibration.csv,38,F1,AAPL,final,platt_shrunk,0.2532145476934916,0.31106472233678645,379,True
outputs/stock_paper_methods_4h/v1/calibration.csv,39,F1,AMZN,final,identity,1.0,0.0,198,True
outputs/stock_paper_methods_4h/v1/calibration.csv,40,F1,AMZN,final,temperature,0.010051835744633586,0.0,198,True
outputs/stock_paper_methods_4h/v1/calibration.csv,41,F1,AMZN,final,platt_shrunk,0.19938191484155907,-0.037046132702582876,198,True
outputs/stock_paper_methods_4h/v1/calibration.csv,42,F2,AAPL,2018-03,identity,1.0,0.0,0,True
outputs/stock_paper_methods_4h/v1/calibration.csv,43,F2,AAPL,2018-03,temperature,1.0,0.0,0,True
outputs/stock_paper_methods_4h/v1/calibration.csv,44,F2,AAPL,2018-03,platt_shrunk,1.0,0.0,0,True
outputs/stock_paper_methods_4h/v1/calibration.csv,45,F2,AMZN,2018-03,identity,1.0,0.0,0,True
outputs/stock_paper_methods_4h/v1/calibration.csv,46,F2,AMZN,2018-03,temperature,1.0,0.0,0,True
outputs/stock_paper_methods_4h/v1/calibration.csv,47,F2,AMZN,2018-03,platt_shrunk,1.0,0.0,0,True
outputs/stock_paper_methods_4h/v1/calibration.csv,48,F2,AAPL,2018-04,identity,1.0,0.0,62,True
outputs/stock_paper_methods_4h/v1/calibration.csv,49,F2,AAPL,2018-04,temperature,0.010051835744633586,0.0,62,True
outputs/stock_paper_methods_4h/v1/calibration.csv,50,F2,AAPL,2018-04,platt_shrunk,0.22009539396213443,0.059701736231881165,62,True
outputs/stock_paper_methods_4h/v1/calibration.csv,51,F2,AMZN,2018-04,identity,1.0,0.0,29,True
outputs/stock_paper_methods_4h/v1/calibration.csv,52,F2,AMZN,2018-04,temperature,1.0,0.0,29,True
outputs/stock_paper_methods_4h/v1/calibration.csv,53,F2,AMZN,2018-04,platt_shrunk,1.0,0.0,29,True
outputs/stock_paper_methods_4h/v1/calibration.csv,54,F2,AAPL,2018-05,identity,1.0,0.0,122,True
outputs/stock_paper_methods_4h/v1/calibration.csv,55,F2,AAPL,2018-05,temperature,0.010051835744633586,0.0,122,True
outputs/stock_paper_methods_4h/v1/calibration.csv,56,F2,AAPL,2018-05,platt_shrunk,0.27766319042444254,0.05874271671652557,122,True
outputs/stock_paper_methods_4h/v1/calibration.csv,57,F2,AMZN,2018-05,identity,1.0,0.0,70,True
outputs/stock_paper_methods_4h/v1/calibration.csv,58,F2,AMZN,2018-05,temperature,0.010051835744633586,0.0,70,True
outputs/stock_paper_methods_4h/v1/calibration.csv,59,F2,AMZN,2018-05,platt_shrunk,0.07995268691439092,-0.18593399967684593,70,True
outputs/stock_paper_methods_4h/v1/calibration.csv,60,F2,AAPL,2018-06,identity,1.0,0.0,188,True
outputs/stock_paper_methods_4h/v1/calibration.csv,61,F2,AAPL,2018-06,temperature,0.010051835744633586,0.0,188,True
outputs/stock_paper_methods_4h/v1/calibration.csv,62,F2,AAPL,2018-06,platt_shrunk,0.2879482860549846,0.10323046309644224,188,True
outputs/stock_paper_methods_4h/v1/calibration.csv,63,F2,AMZN,2018-06,identity,1.0,0.0,110,True
outputs/stock_paper_methods_4h/v1/calibration.csv,64,F2,AMZN,2018-06,temperature,0.010051835744633586,0.0,110,True
outputs/stock_paper_methods_4h/v1/calibration.csv,65,F2,AMZN,2018-06,platt_shrunk,0.010051835744633586,-0.10699881959393921,110,True
outputs/stock_paper_methods_4h/v1/calibration.csv,66,F2,AAPL,2018-07,identity,1.0,0.0,251,True
outputs/stock_paper_methods_4h/v1/calibration.csv,67,F2,AAPL,2018-07,temperature,0.010051835744633586,0.0,251,True
outputs/stock_paper_methods_4h/v1/calibration.csv,68,F2,AAPL,2018-07,platt_shrunk,0.19195303296295782,0.14240222741462832,251,True
outputs/stock_paper_methods_4h/v1/calibration.csv,69,F2,AMZN,2018-07,identity,1.0,0.0,142,True
outputs/stock_paper_methods_4h/v1/calibration.csv,70,F2,AMZN,2018-07,temperature,0.010051835744633586,0.0,142,True
outputs/stock_paper_methods_4h/v1/calibration.csv,71,F2,AMZN,2018-07,platt_shrunk,0.010051835744633586,0.021772281561146453,142,True
outputs/stock_paper_methods_4h/v1/calibration.csv,72,F2,AAPL,2018-08,identity,1.0,0.0,311,True
outputs/stock_paper_methods_4h/v1/calibration.csv,73,F2,AAPL,2018-08,temperature,0.010051835744633586,0.0,311,True
outputs/stock_paper_methods_4h/v1/calibration.csv,74,F2,AAPL,2018-08,platt_shrunk,0.11925734201509773,0.22332047601764457,311,True
outputs/stock_paper_methods_4h/v1/calibration.csv,75,F2,AMZN,2018-08,identity,1.0,0.0,167,True
outputs/stock_paper_methods_4h/v1/calibration.csv,76,F2,AMZN,2018-08,temperature,0.010051835744633586,0.0,167,True
outputs/stock_paper_methods_4h/v1/calibration.csv,77,F2,AMZN,2018-08,platt_shrunk,0.010051835744633586,-0.048823943612718745,167,True
outputs/stock_paper_methods_4h/v1/calibration.csv,78,F2,AAPL,final,identity,1.0,0.0,379,True
outputs/stock_paper_methods_4h/v1/calibration.csv,79,F2,AAPL,final,temperature,0.2311033172109277,0.0,379,True
outputs/stock_paper_methods_4h/v1/calibration.csv,80,F2,AAPL,final,platt_shrunk,0.3667349289061125,0.3333478200799151,379,True
outputs/stock_paper_methods_4h/v1/calibration.csv,81,F2,AMZN,final,identity,1.0,0.0,198,True
outputs/stock_paper_methods_4h/v1/calibration.csv,82,F2,AMZN,final,temperature,0.010051835744633586,0.0,198,True
