stock,horizon_window,method,month,phase,n,accuracy,BA,MCC,precision,recall,F1,up_recall,down_recall,pred_up,true_up,AUC,Brier,constant
AAPL,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2019-01,later,21,0.47619047619047616,0.4772727272727273,-0.045454545454545456,0.5,0.45454545454545453,0.47619047619047616,0.45454545454545453,0.5,0.47619047619047616,0.5238095238095238,0.49090909090909085,0.3454478466601634,False
AAPL,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2019-02,later,1,1.0,,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,0.141573209654766,True
AAPL,1d:DNEWS_OVERNIGHT,PAPER_2G_L1LR,2018-09,development,19,0.47368421052631576,0.5,0.0,0.47368421052631576,1.0,0.6428571428571429,1.0,0.0,1.0,0.47368421052631576,0.4888888888888888,0.2504674384373623,True
AAPL,1d:DNEWS_OVERNIGHT,PAPER_2G_L1LR,2018-10,development,23,0.6521739130434783,0.6553030303030303,0.31298621848313535,0.6153846153846154,0.7272727272727273,0.6666666666666666,0.7272727272727273,0.5833333333333334,0.5652173913043478,0.4782608695652174,0.6666666666666666,0.24556137661181254,False
AAPL,1d:DNEWS_OVERNIGHT,PAPER_2G_L1LR,2018-11,later,21,0.42857142857142855,0.5357142857142857,0.08574929257125442,0.35294117647058826,0.8571428571428571,0.5,0.8571428571428571,0.21428571428571427,0.8095238095238095,0.3333333333333333,0.5357142857142857,0.26338122390849805,False
AAPL,1d:DNEWS_OVERNIGHT,PAPER_2G_L1LR,2018-12,later,19,0.42105263157894735,0.3076923076923077,-0.40599897147057507,0.0,0.0,0.0,0.0,0.6153846153846154,0.2631578947368421,0.3157894736842105,0.17948717948717946,0.25785530996987355,False
AAPL,1d:DNEWS_OVERNIGHT,PAPER_2G_L1LR,2019-01,later,21,0.6190476190476191,0.6318181818181818,0.3091410387156351,0.8,0.36363636363636365,0.5,0.36363636363636365,0.9,0.23809523809523808,0.5238095238095238,0.5818181818181819,0.2493657912372212,False
AAPL,1d:DNEWS_OVERNIGHT,PAPER_2G_L1LR,2019-02,later,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.30350129056586433,True
AAPL,1d:DNEWS_OVERNIGHT,TFIDF_LR,2018-09,development,19,0.47368421052631576,0.4722222222222222,-0.05555555555555555,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.5,0.47368421052631576,0.47368421052631576,0.4111111111111111,0.2535814756931854,False
AAPL,1d:DNEWS_OVERNIGHT,TFIDF_LR,2018-10,development,23,0.30434782608695654,0.303030303030303,-0.3939393939393939,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.3333333333333333,0.4782608695652174,0.4782608695652174,0.1893939393939394,0.2608907043353311,False
AAPL,1d:DNEWS_OVERNIGHT,TFIDF_LR,2018-11,later,21,0.5238095238095238,0.6428571428571428,0.3429971702850177,0.4117647058823529,1.0,0.5833333333333334,1.0,0.2857142857142857,0.8095238095238095,0.3333333333333333,0.6020408163265306,0.25074180775407445,False
AAPL,1d:DNEWS_OVERNIGHT,TFIDF_LR,2018-12,later,19,0.47368421052631576,0.391025641025641,-0.21794871794871795,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.6153846153846154,0.3157894736842105,0.3157894736842105,0.3717948717948718,0.24982439639559498,False
AAPL,1d:DNEWS_OVERNIGHT,TFIDF_LR,2019-01,later,21,0.6666666666666666,0.6727272727272727,0.35527985620321373,0.75,0.5454545454545454,0.631578947368421,0.5454545454545454,0.8,0.38095238095238093,0.5238095238095238,0.6727272727272727,0.24528282169681376,False
AAPL,1d:DNEWS_OVERNIGHT,TFIDF_LR,2019-02,later,1,1.0,,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,0.23455598506380995,True
AMZN,1d:DNEWS_24H,PAPER_2G_L1LR,2018-09,development,19,0.42105263157894735,0.41666666666666663,-0.1685499656158105,0.375,0.3333333333333333,0.35294117647058826,0.3333333333333333,0.5,0.42105263157894735,0.47368421052631576,0.36666666666666664,0.34860897341107455,False
AMZN,1d:DNEWS_24H,PAPER_2G_L1LR,2018-10,development,23,0.5217391304347826,0.5476190476190476,0.09523809523809523,0.42857142857142855,0.6666666666666666,0.5217391304347826,0.6666666666666666,0.42857142857142855,0.6086956521739131,0.391304347826087,0.5714285714285714,0.26458610414810624,False
AMZN,1d:DNEWS_24H,PAPER_2G_L1LR,2018-11,later,21,0.2857142857142857,0.2909090909090909,-0.4300756154038903,0.25,0.18181818181818182,0.21052631578947367,0.18181818181818182,0.4,0.38095238095238093,0.5238095238095238,0.34545454545454546,0.3678213280881626,False
AMZN,1d:DNEWS_24H,PAPER_2G_L1LR,2018-12,later,19,0.3157894736842105,0.3392857142857143,-0.32142857142857145,0.25,0.42857142857142855,0.3157894736842105,0.42857142857142855,0.25,0.631578947368421,0.3684210526315789,0.369047619047619,0.3587286292484571,False
AMZN,1d:DNEWS_24H,PAPER_2G_L1LR,2019-01,later,21,0.6666666666666666,0.6636363636363636,0.3302891295379082,0.6666666666666666,0.7272727272727273,0.6956521739130435,0.7272727272727273,0.6,0.5714285714285714,0.5238095238095238,0.6181818181818182,0.2514614476292324,False
