phase,horizon_minutes,symbol,method,month,n,BA,MCC,Brier,AUC,up_recall,down_recall,pred_up,constant,valid_rows,context_complete_rate
outer,240,AAPL,AR0,2018-08,566,0.5440361874663564,0.11791461318608347,0.24497025418485835,0.4479674937922173,0.9076212471131639,0.18045112781954886,0.8869257950530035,False,566,0.627208480565371
outer,240,AAPL,AR1,2018-06,731,0.5071141522754427,0.01548794258500089,0.25259051629078416,0.4690297754813884,0.2903225806451613,0.7239057239057239,0.28454172366621067,False,731,0.5471956224350205
outer,240,AAPL,AR1,2018-07,438,0.44499079343823233,-0.11015679531708375,0.25044910784289,0.45545279544693673,0.4870689655172414,0.4029126213592233,0.5388127853881278,False,438,0.5296803652968036
outer,240,AAPL,AR1,2018-08,566,0.5480907812255813,0.12464040650576388,0.24450567674998155,0.46206740870652385,0.9006928406466512,0.19548872180451127,0.8780918727915195,False,566,0.627208480565371
outer,240,AMZN,AR0,2018-06,201,0.475328947368421,-0.04860166726019103,0.24893066262970429,0.3750609161793372,0.6875,0.2631578947368421,0.7014925373134329,False,201,0.572139303482587
outer,240,AMZN,AR0,2018-07,164,0.49367488931056297,-0.039765282249209125,0.2551947817419624,0.5159709044908286,0.967741935483871,0.0196078431372549,0.975609756097561,False,164,0.5548780487804879
outer,240,AMZN,AR0,2018-08,170,0.5,0.0,0.24930990388107752,0.5675114250103863,1.0,0.0,1.0,True,170,0.6705882352941176
outer,240,AMZN,AR1,2018-06,201,0.4788011695906432,-0.04196530579012571,0.24848665375315904,0.41167153996101363,0.6944444444444444,0.2631578947368421,0.7064676616915423,False,201,0.572139303482587
outer,240,AMZN,AR1,2018-07,164,0.5098039215686274,0.08662699499813091,0.2554045080139919,0.5007906388361796,1.0,0.0196078431372549,0.9878048780487805,False,164,0.5548780487804879
outer,240,AMZN,AR1,2018-08,170,0.5,0.0,0.24945901142676477,0.5261044176706827,1.0,0.0,1.0,True,170,0.6705882352941176
