symbol,phase,period,method,n,BA,MCC,Brier,accuracy,up_recall,down_recall,pred_up,coverage,news_coverage,dates
AAPL,forward,outer,selected_system,192,0.527056277056277,0.051405265158515547,0.24701071491182833,0.5260416666666666,0.5238095238095238,0.5303030303030303,0.5052083333333334,1.0,0.9947916666666666,64
AAPL,forward,outer,constant,192,0.5,0.0,0.25,0.65625,1.0,0.0,1.0,1.0,0.9947916666666666,64
AAPL,forward,outer,prior,192,0.5,0.0,0.23702004533449286,0.65625,1.0,0.0,1.0,1.0,0.9947916666666666,64
AAPL,frozen,all,title,304,0.5162437649099978,0.04569231009311487,0.26533106494419967,0.5,0.8689655172413793,0.16352201257861634,0.8519736842105263,1.0,0.993421052631579,102
AAPL,frozen,all,price,304,0.5081327260897853,0.021104141308817714,0.2676735234412185,0.4934210526315789,0.8275862068965517,0.18867924528301888,0.819078947368421,1.0,0.993421052631579,102
AAPL,frozen,all,old_integrated,304,0.5470830622424637,0.11892364509477195,0.25882221631172125,0.5328947368421053,0.8551724137931035,0.2389937106918239,0.805921052631579,1.0,0.993421052631579,102
AAPL,frozen,all,old_body,304,0.5461721969204077,0.11249610070475818,0.2549430486636469,0.5328947368421053,0.8344827586206897,0.2578616352201258,0.7861842105263158,1.0,0.993421052631579,102
AAPL,frozen,all,old_semantic,304,0.5518542615484711,0.12243057183889834,0.2860438942119165,0.5394736842105263,0.8206896551724138,0.2830188679245283,0.7664473684210527,1.0,0.993421052631579,102
AAPL,frozen,all,body,304,0.5187811754500109,0.050609665660049076,0.27653057659579633,0.5032894736842105,0.8551724137931035,0.18238993710691823,0.8355263157894737,1.0,0.993421052631579,102
AAPL,frozen,all,semantic,304,0.5081327260897853,0.021104141308817714,0.2676735234412185,0.4934210526315789,0.8275862068965517,0.18867924528301888,0.819078947368421,1.0,0.993421052631579,102
AAPL,frozen,all,joint_body,304,0.5056820646280633,0.040807028452068274,0.323760204110294,0.48355263157894735,0.9862068965517241,0.025157232704402517,0.9802631578947368,1.0,0.993421052631579,102
AAPL,frozen,all,joint_semantic,304,0.5081327260897853,0.021104141308817714,0.2676735234412185,0.4934210526315789,0.8275862068965517,0.18867924528301888,0.819078947368421,1.0,0.993421052631579,102
AAPL,frozen,all,static,304,0.5081327260897853,0.021104141308817714,0.2676735234412185,0.4934210526315789,0.8275862068965517,0.18867924528301888,0.819078947368421,1.0,0.993421052631579,102
AAPL,frozen,all,gate,304,0.5081327260897853,0.021104141308817714,0.2676735234412185,0.4934210526315789,0.8275862068965517,0.18867924528301888,0.819078947368421,1.0,0.993421052631579,102
AAPL,frozen,all,price_cal,304,0.5127954890479288,0.03566815781639377,0.26790314002433496,0.4967105263157895,0.8620689655172413,0.16352201257861634,0.8486842105263158,1.0,0.993421052631579,102
AAPL,frozen,all,static_cal,304,0.5127954890479288,0.03566815781639377,0.26790314002433496,0.4967105263157895,0.8620689655172413,0.16352201257861634,0.8486842105263158,1.0,0.993421052631579,102
AAPL,frozen,all,gate_cal,304,0.5127954890479288,0.03566815781639377,0.26790314002433496,0.4967105263157895,0.8620689655172413,0.16352201257861634,0.8486842105263158,1.0,0.993421052631579,102
AAPL,frozen,all,selected_system,304,0.5162437649099978,0.04569231009311487,0.26533106494419967,0.5,0.8689655172413793,0.16352201257861634,0.8519736842105263,1.0,0.993421052631579,102
AAPL,frozen,all,constant,304,0.5,0.0,0.25,0.4769736842105263,1.0,0.0,1.0,1.0,0.993421052631579,102
AAPL,frozen,all,prior,304,0.5,0.0,0.2603250615776432,0.4769736842105263,1.0,0.0,1.0,1.0,0.993421052631579,102
AAPL,frozen,all,online_weights,304,0.5181739319019736,0.04750010515988956,0.26883880166530316,0.5032894736842105,0.8413793103448276,0.1949685534591195,0.8223684210526315,1.0,0.993421052631579,102
AAPL,frozen,all,online_price,304,0.5081327260897853,0.021104141308817714,0.26830545009900936,0.4934210526315789,0.8275862068965517,0.18867924528301888,0.819078947368421,1.0,0.993421052631579,102
