group,symbol,month,method,C,n,BA,MCC,Brier,ECE10,pred_up,up_rate,constant
AMZN|R1,AMZN,2018-03,R1,0.1,62,0.419047619047619,-0.18744806778279025,0.311749771518395,0.2335367108141819,0.7580645161290323,0.43548387096774194,False
AMZN|R1,AMZN,2018-03,R1,1.0,62,0.40634920634920635,-0.19622565452573865,0.3432166374283094,0.2810772304065882,0.6612903225806451,0.43548387096774194,False
AMZN|R2,AMZN,2018-03,R2,0.01,62,0.4074074074074074,-0.3372094325927133,0.26221221099687847,0.177351481794985,0.9193548387096774,0.43548387096774194,False
AMZN|R2,AMZN,2018-03,R2,0.1,62,0.4587301587301587,-0.1665845446283394,0.29081029667141217,0.2003085905037121,0.9354838709677419,0.43548387096774194,False
AMZN|R2,AMZN,2018-03,R2,1.0,62,0.45026455026455026,-0.14711944434163066,0.31172803955517353,0.2569281607031019,0.8709677419354839,0.43548387096774194,False
AMZN|R0,AMZN,2018-04,R0,0.01,63,0.425,-0.15348515337873012,0.2600892222887968,0.15510560567391388,0.6190476190476191,0.4444444444444444,False
AMZN|R0,AMZN,2018-04,R0,0.1,63,0.48214285714285715,-0.03866801405560912,0.2831881133689674,0.17920275659713306,0.6984126984126984,0.4444444444444444,False
AMZN|R0,AMZN,2018-04,R0,1.0,63,0.4928571428571429,-0.014890583938253493,0.3018978574795511,0.2424283244411656,0.6507936507936508,0.4444444444444444,False
AMZN|R1,AMZN,2018-04,R1,0.01,63,0.425,-0.15348515337873012,0.2608866613632526,0.13798830730415867,0.6190476190476191,0.4444444444444444,False
AMZN|R1,AMZN,2018-04,R1,0.1,63,0.45714285714285713,-0.08770580193070292,0.28568346381997567,0.20265324121613607,0.6190476190476191,0.4444444444444444,False
AMZN|R1,AMZN,2018-04,R1,1.0,63,0.4357142857142857,-0.12909944487358058,0.31207229660296876,0.285905272456342,0.5714285714285714,0.4444444444444444,False
AMZN|R2,AMZN,2018-04,R2,0.01,63,0.4035714285714286,-0.19364916731037085,0.2528138318766552,0.11840438419795199,0.5714285714285714,0.4444444444444444,False
AMZN|R2,AMZN,2018-04,R2,0.1,63,0.45357142857142857,-0.1039501159136702,0.2571625415633674,0.15742737276996208,0.7301587301587301,0.4444444444444444,False
AMZN|R2,AMZN,2018-04,R2,1.0,63,0.5035714285714286,0.008154100913168027,0.26583925954462573,0.14359875848195464,0.746031746031746,0.4444444444444444,False
AMZN|R0,AMZN,2018-05,R0,0.01,65,0.52046783625731,0.0468292905790847,0.2509624787005916,0.0990751938556754,0.24615384615384617,0.5846153846153846,False
AMZN|R0,AMZN,2018-05,R0,0.1,65,0.5199805068226121,0.03976768394980835,0.24988387686968597,0.09170783829357784,0.4307692307692308,0.5846153846153846,False
AMZN|R0,AMZN,2018-05,R0,1.0,65,0.5199805068226121,0.03976768394980835,0.25006553618106514,0.12545007122433055,0.4307692307692308,0.5846153846153846,False
AMZN|R1,AMZN,2018-05,R1,0.01,65,0.496588693957115,-0.007392113785968284,0.25242665386293434,0.09452590993151765,0.2923076923076923,0.5846153846153846,False
AMZN|R1,AMZN,2018-05,R1,0.1,65,0.49610136452241715,-0.007693004760192652,0.25749776964600923,0.07942513308705536,0.47692307692307695,0.5846153846153846,False
AMZN|R1,AMZN,2018-05,R1,1.0,65,0.4273879142300195,-0.14314646543895154,0.26793750951778683,0.16817054462603356,0.5076923076923077,0.5846153846153846,False
AMZN|R2,AMZN,2018-05,R2,0.01,65,0.452729044834308,-0.16095201676578166,0.2505059261786818,0.07486695215942224,0.9076923076923077,0.5846153846153846,False
AMZN|R2,AMZN,2018-05,R2,0.1,65,0.40545808966861596,-0.24015934571496603,0.25604928606826294,0.07958314325108198,0.8153846153846154,0.5846153846153846,False
AMZN|R2,AMZN,2018-05,R2,1.0,65,0.4161793372319688,-0.1917770947524421,0.26759405174358836,0.13644935755297652,0.7538461538461538,0.5846153846153846,False
AMZN|R0,AMZN,2018-06,R0,0.01,63,0.5793478260869566,0.152828062049447,0.246537580151777,0.13597449481116236,0.49206349206349204,0.6349206349206349,False
AMZN|R0,AMZN,2018-06,R0,0.1,63,0.6793478260869565,0.3556166625769118,0.23747224841205924,0.19024744812412273,0.6190476190476191,0.6349206349206349,False
AMZN|R0,AMZN,2018-06,R0,1.0,63,0.6326086956521739,0.26099615540274046,0.235056145142835,0.1571706803095586,0.6031746031746031,0.6349206349206349,False
AMZN|R1,AMZN,2018-06,R1,0.01,63,0.5201086956521739,0.038848061530093264,0.24730523227081147,0.13447950395054142,0.4603174603174603,0.6349206349206349,False
AMZN|R1,AMZN,2018-06,R1,0.1,63,0.6048913043478261,0.22006970263318495,0.23611675461342904,0.17944062694365637,0.6984126984126984,0.6349206349206349,False
AMZN|R1,AMZN,2018-06,R1,1.0,63,0.5489130434782609,0.10425720702853737,0.2283408739016395,0.1437584407166969,0.7142857142857143,0.6349206349206349,False
AMZN|R2,AMZN,2018-06,R2,0.01,63,0.4896739130434783,-0.021360453144631173,0.24676439914676296,0.12162688097563701,0.6825396825396826,0.6349206349206349,False
AMZN|R2,AMZN,2018-06,R2,0.1,63,0.48695652173913045,-0.031984651050360066,0.24160885576861352,0.10456188611378729,0.8095238095238095,0.6349206349206349,False
AMZN|R2,AMZN,2018-06,R2,1.0,63,0.5211956521739131,0.0519750579568351,0.23606068903449623,0.09860028008781686,0.8095238095238095,0.6349206349206349,False
AMZN|R0,AMZN,2018-07,R0,0.01,60,0.5,0.0,0.24837035688267672,0.050157010051018996,0.7666666666666667,0.5,False
AMZN|R0,AMZN,2018-07,R0,0.1,60,0.5,0.0,0.2540709932883098,0.10547625581140978,0.7333333333333333,0.5,False
