symbol,period,news_scope,method,n,BA,MCC,Brier,ECE10,pred_up,up_rate,constant
AMZN,validation,news,S3,73,0.5857487922705313,0.20013423539963923,0.2589291464698834,0.18529011223570474,0.7808219178082192,0.3698630136986301,False
AMZN,validation,news,llm,73,0.4770531400966183,-0.08066795200117238,0.27145564232140934,0.17959933938346018,0.9178082191780822,0.3698630136986301,False
AMZN,validation,news,F0,73,0.48107890499194844,-0.037570916339223395,0.2760381016412171,0.23463496891889268,0.6164383561643836,0.3698630136986301,False
AMZN,validation,news,F1,73,0.5994363929146538,0.20049361773565857,0.2366527460904941,0.11677059720762029,0.3561643835616438,0.3698630136986301,False
AMZN,validation,news,F2,73,0.4440418679549114,-0.10981436312113849,0.32212584446777337,0.2746641984388503,0.589041095890411,0.3698630136986301,False
AMZN,validation,news,F3,73,0.5994363929146538,0.20049361773565857,0.2366527460904941,0.11677059720762029,0.3561643835616438,0.3698630136986301,False
AMZN,validation,news,F4,73,0.5495169082125604,0.09562956958910349,0.24237956756752743,0.12929137179116781,0.4931506849315068,0.3698630136986301,False
AMZN,validation,news,F5,73,0.5495169082125604,0.09562956958910349,0.24237956756752743,0.12929137179116781,0.4931506849315068,0.3698630136986301,False
AMZN,validation,news,F6,73,0.5595813204508857,0.13110740970142798,0.266041192610162,0.19708157194768167,0.7397260273972602,0.3698630136986301,False
AMZN,validation,news,P0_strict,73,0.4770531400966183,-0.08066795200117238,0.27145564232140934,0.17959933938346018,0.9178082191780822,0.3698630136986301,False
AMZN,validation,news,P1_strict,73,0.5032206119162641,0.015664608374449808,0.2675618014716941,0.1762294273506645,0.958904109589041,0.3698630136986301,False
AMZN,validation,news,P2_strict,73,0.5768921095008052,0.1550375748482218,0.2496904612244589,0.13296691278847347,0.6438356164383562,0.3698630136986301,False
AMZN,validation,news,P3_strict,73,0.5660225442834138,0.13433600449668404,0.2497368126429697,0.1329355614182169,0.6575342465753424,0.3698630136986301,False
