phase,symbol,month,method,n,BA,MCC,Brier,pred_up,up_rate,constant
train_forward_oof,AAPL,2018-08,F2,69,0.6388888888888888,0.24839788620727343,0.20951725572873084,0.5942028985507246,0.7391304347826086,False
train_forward_oof,AAPL,2018-08,F6,69,0.49836601307189543,-0.0061406343848634335,0.2254047033669033,0.9420289855072463,0.7391304347826086,False
train_forward_oof,AAPL,2018-08,D0,69,0.5081699346405228,0.014806384278366074,0.2338478164075101,0.6231884057971014,0.7391304347826086,False
train_forward_oof,AAPL,2018-08,D1,69,0.46405228758169936,-0.07067418228235592,0.25954199373470216,0.7246376811594203,0.7391304347826086,False
train_forward_oof,AAPL,2018-08,D2,69,0.46405228758169936,-0.07067418228235592,0.25954199373470216,0.7246376811594203,0.7391304347826086,False
train_forward_oof,AAPL,2018-08,D3,69,0.46405228758169936,-0.07067418228235592,0.25954199373470216,0.7246376811594203,0.7391304347826086,False
train_forward_oof,AAPL,2018-08,D4,69,0.46405228758169936,-0.07067418228235592,0.25954199373470216,0.7246376811594203,0.7391304347826086,False
train_forward_oof,AMZN,2018-03,F0,62,0.408994708994709,-0.2284214675616841,0.3070502798322782,0.8064516129032258,0.43548387096774194,False
train_forward_oof,AMZN,2018-03,R1,62,0.419047619047619,-0.18744806778279025,0.311749771518395,0.7580645161290323,0.43548387096774194,False
train_forward_oof,AMZN,2018-03,F1,62,0.42486772486772484,-0.15937962369601547,0.30454245710075767,0.6774193548387096,0.43548387096774194,False
train_forward_oof,AMZN,2018-03,F2,62,0.382010582010582,-0.2622758125723706,0.34021305830659254,0.7258064516129032,0.43548387096774194,False
train_forward_oof,AMZN,2018-03,F6,62,0.4275132275132275,-0.1881582357433006,0.2940422025560994,0.8225806451612904,0.43548387096774194,False
train_forward_oof,AMZN,2018-03,D0,62,0.419047619047619,-0.18744806778279025,0.311749771518395,0.7580645161290323,0.43548387096774194,False
train_forward_oof,AMZN,2018-03,D1,62,0.42486772486772484,-0.15937962369601547,0.30454245710075767,0.6774193548387096,0.43548387096774194,False
train_forward_oof,AMZN,2018-03,D2,62,0.42486772486772484,-0.15937962369601547,0.30454245710075767,0.6774193548387096,0.43548387096774194,False
train_forward_oof,AMZN,2018-03,D3,62,0.42486772486772484,-0.15937962369601547,0.30454245710075767,0.6774193548387096,0.43548387096774194,False
train_forward_oof,AMZN,2018-03,D4,62,0.42486772486772484,-0.15937962369601547,0.30454245710075767,0.6774193548387096,0.43548387096774194,False
train_forward_oof,AMZN,2018-04,F0,63,0.4107142857142857,-0.18430244519362143,0.2780053630602808,0.6349206349206349,0.4444444444444444,False
train_forward_oof,AMZN,2018-04,R1,63,0.425,-0.15348515337873012,0.2608866613632526,0.6190476190476191,0.4444444444444444,False
train_forward_oof,AMZN,2018-04,F1,63,0.37857142857142856,-0.2531399269503094,0.27732076661331184,0.3492063492063492,0.4444444444444444,False
train_forward_oof,AMZN,2018-04,F2,63,0.39642857142857146,-0.205886164914561,0.2897315377159766,0.5079365079365079,0.4444444444444444,False
train_forward_oof,AMZN,2018-04,F6,63,0.5428571428571429,0.09035079029052512,0.2620472327555471,0.6666666666666666,0.4444444444444444,False
train_forward_oof,AMZN,2018-04,D0,63,0.425,-0.15348515337873012,0.2608866613632526,0.6190476190476191,0.4444444444444444,False
train_forward_oof,AMZN,2018-04,D1,63,0.37857142857142856,-0.2531399269503094,0.27732076661331184,0.3492063492063492,0.4444444444444444,False
train_forward_oof,AMZN,2018-04,D2,63,0.37857142857142856,-0.2531399269503094,0.27732076661331184,0.3492063492063492,0.4444444444444444,False
train_forward_oof,AMZN,2018-04,D3,63,0.37857142857142856,-0.2531399269503094,0.27732076661331184,0.3492063492063492,0.4444444444444444,False
train_forward_oof,AMZN,2018-04,D4,63,0.37857142857142856,-0.2531399269503094,0.27732076661331184,0.3492063492063492,0.4444444444444444,False
train_forward_oof,AMZN,2018-05,F0,65,0.5199805068226121,0.03976768394980835,0.25229166937371317,0.4307692307692308,0.5846153846153846,False
train_forward_oof,AMZN,2018-05,R1,65,0.49610136452241715,-0.007693004760192652,0.2574977696460093,0.47692307692307695,0.5846153846153846,False
train_forward_oof,AMZN,2018-05,F1,65,0.5969785575048733,0.21748750777439183,0.25091009547871423,0.26153846153846155,0.5846153846153846,False
train_forward_oof,AMZN,2018-05,F2,65,0.4220272904483431,-0.15415288347095465,0.29092588801302666,0.5384615384615384,0.5846153846153846,False
train_forward_oof,AMZN,2018-05,F6,65,0.5804093567251463,0.158970161079422,0.24780277137992274,0.5384615384615384,0.5846153846153846,False
train_forward_oof,AMZN,2018-05,D0,65,0.49610136452241715,-0.007693004760192652,0.2574977696460093,0.47692307692307695,0.5846153846153846,False
train_forward_oof,AMZN,2018-05,D1,65,0.5969785575048733,0.21748750777439183,0.25091009547871423,0.26153846153846155,0.5846153846153846,False
train_forward_oof,AMZN,2018-05,D2,65,0.5969785575048733,0.21748750777439183,0.25091009547871423,0.26153846153846155,0.5846153846153846,False
train_forward_oof,AMZN,2018-05,D3,65,0.5969785575048733,0.21748750777439183,0.25091009547871423,0.26153846153846155,0.5846153846153846,False
train_forward_oof,AMZN,2018-05,D4,65,0.5969785575048733,0.21748750777439183,0.25091009547871423,0.26153846153846155,0.5846153846153846,False
train_forward_oof,AMZN,2018-06,F0,63,0.6608695652173913,0.332773375305833,0.23142319162304187,0.6825396825396826,0.6349206349206349,False
