key,cutoff,latest_context_end,observed_bars,missing_bars,open_step,close_step,eligible
AMZN|2018-01-31 16:30:00+00:00,2018-01-31 16:25:00+00:00,2018-01-31 16:25:00+00:00,512,0,2,49,True
AAPL|2018-02-01 14:30:00+00:00,2018-02-01 14:25:00+00:00,2018-01-31 21:00:00+00:00,512,0,1,48,True
AMZN|2018-02-01 14:30:00+00:00,2018-02-01 14:25:00+00:00,2018-01-31 21:00:00+00:00,512,0,1,48,True
AAPL|2018-02-01 15:30:00+00:00,2018-02-01 15:25:00+00:00,2018-02-01 15:25:00+00:00,512,0,2,49,True
AMZN|2018-02-01 15:30:00+00:00,2018-02-01 15:25:00+00:00,2018-02-01 15:25:00+00:00,512,0,2,49,True
AAPL|2018-02-01 16:30:00+00:00,2018-02-01 16:25:00+00:00,2018-02-01 16:25:00+00:00,512,0,2,49,True
AMZN|2018-02-01 16:30:00+00:00,2018-02-01 16:25:00+00:00,2018-02-01 16:25:00+00:00,512,0,2,49,True
AAPL|2018-02-02 14:30:00+00:00,2018-02-02 14:25:00+00:00,2018-02-01 21:00:00+00:00,512,0,1,48,True
AMZN|2018-02-02 14:30:00+00:00,2018-02-02 14:25:00+00:00,2018-02-01 21:00:00+00:00,512,0,1,48,True
AAPL|2018-02-02 15:30:00+00:00,2018-02-02 15:25:00+00:00,2018-02-02 15:25:00+00:00,512,0,2,49,True
AMZN|2018-02-02 15:30:00+00:00,2018-02-02 15:25:00+00:00,2018-02-02 15:25:00+00:00,512,0,2,49,True
AAPL|2018-02-02 16:30:00+00:00,2018-02-02 16:25:00+00:00,2018-02-02 16:25:00+00:00,512,0,2,49,True
AMZN|2018-02-02 16:30:00+00:00,2018-02-02 16:25:00+00:00,2018-02-02 16:25:00+00:00,512,0,2,49,True
AAPL|2018-02-05 14:30:00+00:00,2018-02-05 14:25:00+00:00,2018-02-02 21:00:00+00:00,512,0,1,48,True
AMZN|2018-02-05 14:30:00+00:00,2018-02-05 14:25:00+00:00,2018-02-02 21:00:00+00:00,512,0,1,48,True
AAPL|2018-02-05 15:30:00+00:00,2018-02-05 15:25:00+00:00,2018-02-05 15:25:00+00:00,512,0,2,49,True
AMZN|2018-02-05 15:30:00+00:00,2018-02-05 15:25:00+00:00,2018-02-05 15:25:00+00:00,512,0,2,49,True
AAPL|2018-02-05 16:30:00+00:00,2018-02-05 16:25:00+00:00,2018-02-05 16:25:00+00:00,512,0,2,49,True
AMZN|2018-02-05 16:30:00+00:00,2018-02-05 16:25:00+00:00,2018-02-05 16:25:00+00:00,512,0,2,49,True
AAPL|2018-02-06 14:30:00+00:00,2018-02-06 14:25:00+00:00,2018-02-05 21:00:00+00:00,512,0,1,48,True
AMZN|2018-02-06 14:30:00+00:00,2018-02-06 14:25:00+00:00,2018-02-05 21:00:00+00:00,512,0,1,48,True
AAPL|2018-02-06 15:30:00+00:00,2018-02-06 15:25:00+00:00,2018-02-06 15:25:00+00:00,512,0,2,49,True
AMZN|2018-02-06 15:30:00+00:00,2018-02-06 15:25:00+00:00,2018-02-06 15:25:00+00:00,512,0,2,49,True
